"","CREBBP","NCOR2","SMURF1","APC","YWHAH","TP53","HSPG2","IRF5","NMU","ACVR1C","NRIP1","IKZF3","OBSCN","OR10G2","OR4C3","EPHB1","DOCK2","ATM","RYR2","BMPR2","ANK3","LRIG1","BABAM1","CACNA1H","RTN4","PDIA3","GGPS1","CHD5","ADAMTS5","NCAN","ADAMTS9","TTN","PTPRM","IL1RAP","EPSTI1","KCNN3"
"Complement cascade",0.887429700430464,0.888360048231468,0.886448441798991,0.886988530776805,0.887623972032128,0.887244286970556,0.887873464700879,0.886868455808605,0.902858960125413,0.885849231425174,0.888438933087781,0.889003829344158,0.888025285565346,0.88856489455614,0.887118825593496,0.88756421806616,0.889487752251271,0,0.848054804934943,0.885945695400298,0.887347342146369,0.890435667024654,0.847877929138792,0,0,0.887029821734733,0,0,0.887839819246137,0.866564734837948,0.887862932077181,0.886316055153142,0,0,0.890406871231639,0
"Regulation of Complement cascade",0.844038230543747,0.844541199468352,0.842209705082886,0.84288475923986,0.843678993668894,0.843806483309472,0.843933021467071,0.84273467821662,0.860913685658021,0.843485531338488,0.844697608880443,0.84540366951451,0.844397935680853,0.844855047406923,0.844855047406923,0.843604307524981,0.846008522017564,0,0.794221715638237,0.8436061011151,0.837910935301075,0.847193315328513,0.79400063958158,0,0,0.844743801987532,0,0,0.843948779880191,0.819164605688305,0.843977668476916,0.844069011674294,0,0,0.847119371808,0
"Classical antibody-mediated complement activation",0.685717113967312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781260228041597,0,0,0,0,0,0,0,0,0,0
"Interaction between L1 and Ankyrins",0.909232290618773,0.877825570939828,0.876607511126289,0.910856871050775,0.911256326756124,0.925315964481712,0.909064596711465,0.910905960624702,0.879890180251101,0.910529358839532,0,0.91189082285348,0.879989103621967,0.912704920195887,0.912704920195887,0.911164332781176,0.881160142823923,0.910053529374437,0.910397523584422,0,0.940608076958352,0,0,0.91041328997837,0.880566170974244,0,0,0,0,0.910655245597284,0,0.879238454333192,0,0,0,0.911877495736081
"Initial triggering of complement",0.797622543008038,0.799680195328863,0.797930338064274,0,0.800530260920873,0.797212463642362,0.800156250553023,0.800026927083306,0.837423792273248,0.801355570218551,0.802332712117872,0,0.802970080075066,0.804480968332552,0.804480968332552,0,0,0,0,0.801568919808967,0.798637984318561,0.806748893050256,0,0,0,0.802414451346012,0,0,0.802175293779551,0,0.802226412479877,0.802388045306075,0,0,0.807876761930795,0
"Glucagon-type ligand receptors",0.899915026418011,0.901262940710343,0.897667042953209,0.901443878649649,0.901819796477127,0.897196782169305,0.898990559503204,0.901490075626523,0.925987785257908,0.899910823075136,0.903000535178742,0.903818972903681,0.903418058280328,0.930287908097055,0.930287908097055,0.901733223235738,0.90452009414262,0.898238261814943,0.89957881357796,0.871659738461134,0.899355373518933,0.905893459962991,0.872428826681125,0.899978891502933,0.90151151004352,0,0.870326028062359,0.901095259134325,0,0,0,0,0,0.875620970331096,0,0
"G beta:gamma signalling through BTK",0.84602501121985,0.848580072000289,0.846407211394604,0.848081017867678,0.849635628973137,0.840872399283738,0.849171206868053,0.849010621271488,0.895447651760608,0.850660445166275,0.85187379735343,0.852583166270472,0.851823206059156,0.903598819293944,0.903598819293944,0.84947152366246,0.854754221972605,0.842846592903714,0.845387697522397,0.787306314773063,0.844964152097552,0.856515493833822,0.785926282080935,0.846146071716537,0.849051251627979,0.853425200246122,0.789937105882627,0.848262220471508,0,0,0,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 12",0.855228085200752,0.857512583965132,0.854816944394237,0.856522874559622,0.858456365271106,0.854019927710107,0.857288253214829,0.856601171033803,0.89941723408996,0.854992800887536,0.859161157970896,0.86109178019559,0.859868792733061,0.906705253342076,0.906705253342076,0.857556768684597,0.861736566952856,0.852052429862036,0.854430097983965,0.858856662579725,0.857678394200953,0.865360572202438,0.801493366437974,0.855336326287312,0.857705708838907,0,0.80507947369979,0.857228390559514,0,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0.784601054435349,0.78648630660973,0.78447581646597,0.78587200762839,0.787072098652969,0.784785758322175,0.814039294919007,0.785920605170319,0.78433642253366,0.787173535497597,0.759709436356515,0.758698839496262,0.788286116734349,0,0,0.786981026747122,0.759857401125054,0.755405036932769,0,0.787320557672908,0,0.79089014940496,0.755129364802047,0,0,0.757169590762867,0.789247837161186,0,0.787136048251696,0.787147327642781,0.787171274860317,0.787885028465669,0.791020100865149,0,0.787361243599664,0
"GABA B receptor activation",0.87614931058635,0.877817294384527,0.87584912386061,0.877094676679921,0.87850637855123,0.875267197121697,0.87765350350717,0.877151843377678,0.905820586504006,0.876787265855823,0.87870921151206,0.880430577182481,0.879537635892831,0.913734396546806,0.911141796663047,0.877849555026268,0.880901356103955,0.875009343817285,0.876668216813923,0.878798648100963,0.877938357609088,0.8835473553643,0.876059305292539,0.877163295396188,0.877958300878163,0,0.839515320743806,0.877609795915491,0,0,0,0,0.845661438184496,0.844790670417646,0,0
"Activation of GABAB receptors",0.87614931058635,0.877817294384527,0.87584912386061,0.877094676679921,0.87850637855123,0.875267197121697,0.87765350350717,0.877151843377678,0.905820586504006,0.876787265855823,0.87870921151206,0.880430577182481,0.879537635892831,0.913734396546806,0.911141796663047,0.877849555026268,0.880901356103955,0.875009343817285,0.876668216813923,0.878798648100963,0.877938357609088,0.8835473553643,0.876059305292539,0.877163295396188,0.877958300878163,0,0.839515320743806,0.877609795915491,0,0,0,0,0.845661438184496,0.844790670417646,0,0
