"","x"
"ANPEP",0.783787969595419
"CXCR2",0.7785910824291
"RUNX1T1",0.746082383527081
"MAG",0.744276837797753
"COL6A3",0.738405822914396
"KRAS",0.737934126144873
"APC",0.737619841879084
"INSR",0.733988937921164
"GGA1",0.700398503664821
"INHBA",0.698378812057036
"ADAMTS12",0.694554161725704
"ADAMTSL3",0.694554161725704
"FGF6",0.69429635878653
"PTEN",0.694174234866068
"PIAS3",0.693950569508793
"MASP2",0.693488574916822
"MYLK",0.6916804534923
"OBSCN",0.691258451569525
"TTN",0.690639681153193
"MMP13",0.685809995590324
