"","HLA-A","TP53","PLA2G4D","NRAS","IRF5","MTOR","HDAC5","MEF2A","GNAS","TCF7L2","ERBB2","ITGA4","PSMD2","APC","KISS1","RBP1","NRG1","OAS3","CHEK2","LAMC3","CACNG2","SLC9A3R2","CACNA1B","HLA-DQB1","OBSCN","NPHP4","OR5B3","OR52I2","OR13C5","OR4N4","OR10AG1","CTSA","CBLC","GABRR2","DUSP16","UBE4B","PLCH2","IGFALS","ITPKB","APBA2","RGS22","SMPD2","KCNJ12","INSL3","TUBB2A","RFC4","TAOK2","PDIA2","ABCA3","PDE2A","COL6A3","KLHL9","LIG1","SH2D3C","THBS2","FBXO15","ASB18","TAF1B"
"Glucuronidation",0.924676991496517,0.923628160774391,0.923688004953062,0,0.925031252822209,0,0.925164374730812,0.925877575358798,0,0.925340429029165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.883483562715548,0.882890818502562,0.915329182549292,0.870407311142447,0.883683772669603,0.884874798488059,0.883759006202795,0.884162069858367,0.870688583989725,0.883858502874964,0,0,0.869981155459214,0.861382854838623,0,0.873260957933024,0,0,0,0,0,0,0,0,0.862000044563648,0,0,0,0,0,0,0,0,0,0,0.884290179645978,0,0,0,0,0,0,0,0,0.884130344227257,0,0,0,0,0.873174362495414,0,0.847420533466299,0,0,0,0.847439536347411,0.847439536347411,0
"Aspirin ADME",0.862266212172269,0.861286496208756,0.933121057005296,0.842158125229322,0.862597128752717,0,0.862721478331921,0.863387681204972,0.861572126236338,0.862885931186803,0,0.842886928852181,0,0,0,0.863407365505152,0.843772390833613,0,0.843249579011788,0.843434218278332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845200949689089,0,0,0.844618177995132,0,0,0,0,0,0,0,0,0,0,0,0,0.843173009120532,0,0,0,0.843434218278332,0,0,0
"Potassium Channels",0.939988598951094,0.938106055038923,0.940554214806102,0.939730874270581,0.940217538359574,0.940277864859252,0.955092441336455,0.940764469584796,0.952838847382828,0.940417341761197,0.940265367053982,0.940235085543673,0.939860035008166,0.940194818238737,0.952759471614606,0.93979181290943,0.940629210474768,0.940372414079622,0.939497619021613,0.94061371908727,0.939125533706161,0.941020708955365,0.953245383802877,0.941470955609594,0.94116573890924,0.93876480891589,0.954380591395278,0.954380591395278,0.954380591395278,0.954380591395278,0.954380591395278,0.941768475397309,0.940893618963328,0.942225451855387,0.940631261403576,0.940960397002434,0.939985674642767,0.940228080013534,0.939960996009216,0.94055316217787,0.940954501247979,0.940943047672785,0.953621979779898,0.95296317261852,0.939572882839168,0.927181292340307,0.925587893870247,0.941999279647136,0.942965000808161,0.939474323365493,0,0.926849771926618,0.927795802305658,0.942965000808161,0,0.926871501657199,0.926871501657199,0
"Phase 4 - resting membrane potential",0,0,0.859044080133852,0.855543779560758,0,0,0.858505251946806,0,0.857685562370074,0,0,0,0,0,0.857348108989594,0,0,0,0,0,0.805680306979156,0,0.859413886924358,0,0,0,0.864240040398936,0.864240040398936,0.864240040398936,0.864240040398936,0.864240040398936,0,0,0,0,0,0,0,0,0,0,0,0.920291915946602,0.858214111220723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase 0 - rapid depolarisation",0.897998038209767,0.926208067046511,0.899000793310881,0.927161706150509,0.899371757589351,0.898373435624057,0.928461809873404,0.929508129491021,0.898275363634104,0.899825342622713,0.898626345176326,0.898276319873641,0.898560168956432,0.899320179354526,0.897813886672275,0.870173838120045,0.899667001720422,0.898869358700132,0.900472383053116,0.865744346858695,0.928522443386131,0.900681634351889,0.928947008371097,0.867690408103998,0.866997518362941,0.898539506867981,0.901494082624037,0.901494082624037,0.901494082624037,0.901494082624037,0.901494082624037,0,0,0,0,0,0.870613934635266,0,0.900156884030504,0.902562598488461,0.90307604484519,0,0.900503360681893,0.898276319873641,0,0.898899849976851,0.869121951292104,0,0,0.899052060861595,0.899006911078357,0,0.899159611326077,0,0,0,0,0.898916983488133
"Defensins",0.639282301428653,0.636549578445844,0.641562722110712,0.638243220422499,0.640205327467284,0.640448548721293,0.639671368141236,0,0.640655633019805,0.640130076698473,0.640398160717904,0.640276073294469,0.638763963988453,0.640113725661932,0.640335609912415,0.643346129636569,0.64274589352521,0.640829747366445,0.642160013971009,0.641802628386753,0.640659859685493,0.644079370497862,0.640533069951971,0.696575231787358,0.644028233287644,0,0.645109941072577,0.645109941072577,0.645109941072577,0.645109941072577,0.645109941072577,0.646458315013702,0.642931114196719,0.64830072900721,0,0.643200346432938,0.644127731323027,0,0.644028233287644,0.697363211120478,0.64741992124177,0,0.643350440794773,0.640276073294469,0,0.639367229974972,0,0,0,0.641185283986899,0.641074037350753,0.638030623157452,0.641844779396383,0,0.641802628386753,0.638118231958715,0.638118231958715,0
"GABA receptor activation",0.885053589680665,0.882540795429601,0.885368627652427,0.883999374514254,0.88480871925357,0.884702986926454,0.910171973499266,0.886343898191153,0.906424143215143,0.885141001490247,0.885256829040603,0.885463508208716,0.905837098816348,0.88456487658104,0.906292137665745,0.884264306288511,0.885480536363813,0.885066284691629,0.884237067500329,0.885467586005877,0.884996208137336,0.886770036037083,0.907100231959614,0.886893209727423,0.886179562264117,0.884077865529359,0.908988134341817,0.908988134341817,0.908988134341817,0.908988134341817,0.908988134341817,0.887387998803658,0.886558679541297,0.888147971648794,0.88601226040643,0.907667051367906,0.884938619962332,0.885395350900882,0.884797977109206,0.885468193358774,0.885703423836002,0.88664088175608,0.909338945395191,0.906630901794104,0.884362234686848,0.883703041622225,0.861104555504446,0.88756577880748,0.889171817467409,0.907369262132804,0,0.860670089625076,0.884724999927682,0.889377875535134,0,0,0,0.88454725834729
"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",0.84502544522483,0.84242757965445,0,0.843200301231072,0.845902920761651,0.845296798569024,0,0.847999190572268,0,0.846668724247656,0.844169517448324,0.845970175346125,0.89331670882726,0.841482194541212,0.790184962602289,0.848051386481717,0.793313641591805,0.846496526102439,0.788082370060689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847052369408515,0,0.850664329830006,0.793608014290004,0.794627286941657,0,0,0,0,0.8443499971125,0,0,0,0.786506787153662,0.79811945350789,0,0,0,0,0.842393713178465,0.787782692027765,0,0,0.842476998564469,0.842476998564469,0
"Activation of Matrix Metalloproteinases",0.887100241540388,0.886487770527535,0.85931634839257,0.886576903659735,0.886801250446073,0.858755189891121,0.887739819604164,0.888675730904828,0.887348303408128,0.887970850257943,0.887410648631447,0.887921013786042,0.857906741118944,0.887518992141727,0.887187122312728,0.888383129761628,0.888844695472776,0.887115742371851,0.860254121468208,0.888369615690228,0,0.862040368429214,0,0.861177889895898,0.860318255059566,0,0,0,0,0,0,0.861782036052351,0.888937982707464,0.862709976250406,0,0,0,0.91587865425372,0,0.861655154530262,0,0.888274475694094,0,0,0,0.8871430161895,0,0.860966315717141,0.862927317142019,0,0.887238780134927,0.857537390669827,0.888390845238181,0,0.887605738328161,0.857785278818715,0.857785278818715,0.888173819645271
