"","AKT1","PLA2G4D","KRAS","IRF5","PIK3CG","PKN1","DOCK1","PTPN7","APC","EPN2","KDM1A","OR2T12","OR2Y1","OR5M9","PTPN3","COPB2","CYP2A6","SALL4","LRP1","THBS4"
"Arachidonic acid metabolism",0.898578341475091,0.922182894810379,0.898973595385739,0.877041509918778,0.89904014474225,0.876865020950479,0.900450330079617,0.901612784018194,0.876107552157573,0.875906262211483,0.876620472792381,0,0,0,0,0,0.92223339781805,0,0,0
"G-protein activation",0.914215971323844,0.917473745423187,0.867299427900481,0.868439121524181,0.915214306660707,0.870303658433166,0.870491861849984,0.869303193895822,0.868353848447608,0.86823099503571,0.869774989441074,0.921595841715187,0.921595841715187,0.921595841715187,0.873824830655722,0.809902286397509,0,0,0.81600951125493,0
"Thromboxane signalling through TP receptor",0.894879628917671,0.898137403017014,0.847963085494308,0.849102779118008,0.895877964254534,0.850967316026993,0.851155519443811,0.849966851489649,0.848197552900347,0.848894652629537,0.850438647034902,0.902259499309015,0.902259499309015,0.902259499309015,0.854488488249549,0.795391175453532,0,0.800207539596249,0,0.800207539596249
"GABA receptor activation",0.702796542467731,0.678324533213664,0.677043889030458,0.677651194853561,0.703328523037666,0.678644746189351,0.678745033695207,0.678731565319321,0.677357952913309,0.678292637826768,0.678363035604405,0.706729036402251,0.706729036402251,0.706729036402251,0.681273411672363,-0.0206074213220014,0,0.678633621832588,0,0
"Heme degradation",0.756528183491026,0.759206130653109,0,0.75781805151376,0,0,0,0.764634973657104,0,0,0,0,0,0,0,0,0.812703254058183,0.762628094589685,0.761029852881265,0
"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",0.867142256840415,0,0.802018173268955,0.80469160363912,0.803333057132873,0.733754137831463,0.734010892640202,0.810112859701962,0.798785901539779,0.724682064986473,0,0,0,0,0,0,0.728862569405927,0.733892147118742,0.808680378864723,0
"Classical antibody-mediated complement activation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669755985884183,0,0
"CD22 mediated BCR regulation",0.787313214637442,0.791931403746847,0.787768022990877,0.694364247951716,0.789042686177204,0.694881580966836,0.794323886160413,0.702273759667285,0.691503817250125,0.78938182828081,0,0.70098150242674,0.70098150242674,0.70098150242674,0.80009777242848,0,0,0.697816617078604,0.699429318017058,0.700529324511675
"Phase 0 - rapid depolarisation",0.870587819989609,0.871700339246366,0.909764120035912,0.871056946468257,0.871392153144839,0.873696674057555,0.873848304719603,0,0.872125762200713,0.870889264298772,0.87327073902072,0.875021406421175,0.875021406421175,0.875021406421175,0,0.870704360759807,0,0.875061684583729,0,0
"TNFs bind their physiological receptors",0.573652095435255,0,0.574200177474077,0.574931212306196,0.57429245867868,0.576127184098875,0.576247903606606,0,0.574876515510566,0.574797713522493,0,0,0,0,0,0,0,0.541761600268813,0.576806631832129,0.577213926031823
"Recycling of bile acids and salts",0.815861403593381,0.818648535558138,0,0.817634353988052,0.815236982885465,0.893817697621755,0,0,0.81874365589934,0,0.820889453092439,0,0,0,0,0,0.818813385269567,0.824245858126101,0.821155279649154,0.82211403936728
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.85224883458944,0.913951555333834,0.798270991594718,0.80167635494013,0.798436512487713,0,0.801943911335252,0.804870750480438,0,0,0,0,0,0,0,0,0.914077165908706,0,0,0
"Defective GALNT12 causes CRCS1",0.787311061409651,0,0.788274114560796,0,0.788436264929882,0,0,0,0,0.78932406499447,0,0,0,0,0,0.789065398406385,0,0,0,0
"GABA B receptor activation",0.918695483902539,0.886705678852006,0.885031621060734,0.885825491097535,0.919390888785163,0.887124261182559,0.887255356987895,0.887237751129931,0.88576609290575,0.886663985209352,0.886756009168614,0.923836039098546,0.923836039098546,0.923836039098546,0.890560452116927,0.84477812192299,0,0.887109719425874,0,0
"Activation of GABAB receptors",0.918695483902539,0.886705678852006,0.885031621060734,0.885825491097535,0.919390888785163,0.887124261182559,0.887255356987895,0.887237751129931,0.88576609290575,0.886663985209352,0.886756009168614,0.923836039098546,0.923836039098546,0.923836039098546,0.890560452116927,0.84477812192299,0,0.887109719425874,0,0
"RA biosynthesis pathway",0.847793750722462,0.851994444198317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909390637172265,0,0,0
"G beta:gamma signalling through BTK",0.913114778850166,0.863562342921917,0.860886965940405,0.862155680577285,0.914226132487718,0.864231295653338,0.864440804967651,0.863117571775434,0.861147976639883,0.861923992765092,0.863642777761877,0.921330100397181,0.921330100397181,0.921330100397181,0.86815108834572,0.79700957694371,0,0,0,0
"Collagen chain trimerization",0.878795861877137,0.839109349626844,0.879489774050251,0.880415317916035,0.879153462468159,0,0.881629199571786,0,0.8371031457159,0,0,0,0,0,0,0.837860319785348,0,0.840731149937888,0.882789736974791,0.884791880412871
"Erythrocytes take up carbon dioxide and release oxygen",0.705939933427999,0,0.794867676385617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714860687708173,0,0.88866210827644,0.715987973683086
"O2/CO2 exchange in erythrocytes",0.705939933427999,0,0.794867676385617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714860687708173,0,0.88866210827644,0.715987973683086
"Glucagon-type ligand receptors",0.914199648664292,0.882528125754158,0.880818154048915,0.881629055146624,0.914909972214156,0.882955688019507,0.883089596250734,0.882243849526529,0.881568382672935,0.88148097149111,0.882579535817637,0.919450485272347,0.919450485272347,0.919450485272347,0.885461030122961,0.837239220899996,0,0,0,0
"Activation of G protein gated Potassium channels",0.913304007799391,0.873676896944967,0.871537396469606,0.872551988277587,0.91419275792779,0.874211858820157,0.874379403536532,0.873321213209215,0.872476075450549,0.872366707403995,0.873741220731678,0.919873805056577,0.919873805056577,0.919873805056577,0.877346519238714,0.816986715933349,0,0,0,0
"G protein gated Potassium channels",0.913304007799391,0.873676896944967,0.871537396469606,0.872551988277587,0.91419275792779,0.874211858820157,0.874379403536532,0.873321213209215,0.872476075450549,0.872366707403995,0.873741220731678,0.919873805056577,0.919873805056577,0.919873805056577,0.877346519238714,0.816986715933349,0,0,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.913304007799391,0.873676896944967,0.871537396469606,0.872551988277587,0.91419275792779,0.874211858820157,0.874379403536532,0.873321213209215,0.872476075450549,0.872366707403995,0.873741220731678,0.919873805056577,0.919873805056577,0.919873805056577,0.877346519238714,0.816986715933349,0,0,0,0
"Biosynthesis of specialized proresolving mediators (SPMs)",0.805709590892235,0.915455010481513,0.806627997814622,0.807852974009369,0,0.808217551831983,0,0.813641692434019,0,0,0,0,0,0,0,0,0.860397842101258,0,0,0
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0.699505982519357,0.829575179575151,0.700597432577143,0.695268735564827,0.700781201281392,0.704434871761449,0.704675272475861,0.708932623886167,0.701944291508327,0.701787365303226,0.703759579008877,0,0,0,0,0,0.766297096907291,0,0,0
"Acyl chain remodelling of PE",0.723020135293846,0.851150060710959,0.725024355936143,0.606136122283344,0.725361808875777,0.611323162510355,0.732512459347469,0.740330198251034,0,0,0,0,0,0,0,0,0.724177434456414,0,0.613386933126198,0
"Cytosolic sulfonation of small molecules",0.712984131982497,0.802873795174592,0,0.716407519872667,0,0.719608380908161,0,0,0,0,0,0,0,0,0.808224091121402,0,0.803061222332822,0,0,0
"Phase 4 - resting membrane potential",0.750941100359759,0.756761759542772,0,0,0.753021843256046,0,0,0,0,0,0,0.766322317797731,0.766322317797731,0.766322317797731,0,0,0,0,0,0
