"","CDKN1B","ACACB","NOTCH1","SDC2","EGFR","JAK1","JUN","CCNB1","HSPG2","MS4A2","PLCB3","PIK3R5","PF4","ACTN4","FN1","RXRA","PPP2R1A","HIF1A","NCOR1","NCOR2","CDH1","RET","THBS1","HDAC4","SPTBN1","PLA2G6","PDGFRA","YES1","QSOX1","MAGED2","AHSG","PLB1","HIST1H2AC","MAML1","PPP1CB","IRF9","STAT1","STAT4","IL1B","CYP4F3","MEF2C","SMARCB1","ERBB3","IL2RB","ANGPT2","FGFR4","NTRK1","RPA1","DVL2","LMO4","TFAP2C","HSPA1L","ACTA1","HIP1R","CBLB","CREM","CCT5","MMP2","ANK3","ANK2","RLBP1","CD40LG","KLC3","KLC1","TMED10","KIF26A","COPE","GNAS","ATM","HOXB3","NR2F1","PABPC1","PKN1","PPP2R5B","HSD17B1","ALDH1A2","UGT2A3","ERBB4","ALDH2","RHOQ","CYP26C1","ADCY3","TBP","CD80","EFNA4","ADCY6","CYP11B1","IGF2R","ITGB5","FCHO2","FCHO1","GAPVD1","SYT9","VLDLR","HSF2","SLC2A4","DNMT3A","ORC1","SLC2A1","CUL2","FBXW7","B4GALT5","B3GNT3","RANBP2","NT5C2","SND1","CSNK1D","ACVR1B","CUBN","MED13","NRG3","MED12","FMOD","ATP2B1","CASR","MKS1","CEP192","CYR61","KALRN","GNS","PTCH2","HOXA2","RPS6KA2","IKBKB","TRIM21","MLXIPL","RAB3GAP1","BMP2","CCNB2","SMAD1","PLXNB2","RND1","PLXNB1","RYR2","ZW10","AURKB","NUP133","ARSI","TAOK1","UBE3A","FFAR3","EDN3","LCAT","ROCK2","ACVR2A","HCST","ZFYVE28","TPX2","TUBGCP3","PTPN23","INTS2","DNAH1","FBXW11","RANBP10","TAF1","CDK12","ENPP3","LRP1","VTN","ITGA5","BRAF","PPARGC1B","FAF1","POLR1A","MAF","ABCB4","BCL7C","SCO2","DICER1","DSCAM","CNKSR2","SELP","MAP4K4","CD109","LY6G6F","FADD","EGLN2","BBS9","BBS7","RGS9","CACNB2","CACNA1F","CACNA2D4","TJP2","GLI3","H6PD","ESPL1","ALDOB","VDAC1","MUC17","DNAJC5","GLI2","LIMK2","RAB11B"
"Collagen biosynthesis and modifying enzymes",0.912706637715433,0.913724159910703,0.915142218878756,0.915335534361752,0.914170823124051,0.914284740443664,0.914400566368995,0.914423384214589,0.914735141021681,0.892969031325876,0.914034193843763,0.914426789808633,0.914280228990621,0.915021545537545,0.91491219579719,0.890995341745562,0.934413355884877,0.913035864817528,0.891060886896874,0.891382792479742,0.915258027212212,0,0.936389805081679,0.891392816706071,0.915315663064556,0,0.915239438045987,0.914468127255519,0.91571190822601,0.91571190822601,0.915605527059544,0,0.890440415127577,0.892509397349298,0.914919176302416,0.915296129038808,0.914792926280939,0.915891541103312,0.89271936275064,0,0.915698050972704,0.915995872633222,0.916886269037662,0.891382792479742,0.916267816123528,0.915074028332693,0.915798826249688,0.890709615531259,0.914509329973258,0.892715638771925,0.893289585249233,0,0.915331678447472,0.914976571081733,0,0.89336704489033,0.891055861551906,0.915383114870444,0.915555856875274,0.915496669608131,0,0.891959388287821,0.915345600265846,0.915335534361752,0.93619627788616,0.915418646233149,0.915092437305087,0.891395142855943,0.890804703365564,0.892516159228049,0.894284306770926,0.914891500240456,0,0.914618112356967,0,0,0,0.91610918207774,0,0,0,0.8902028600265,0.914725931713495,0.916213337131711,0.916149675511711,0.890205916154187,0,0.914940370895311,0.936462166458679,0.891701901591278,0.891701901591278,0.891615662667248,0.891564880329287,0.914440410203567,0.895294386905151,0,0.892269869873369,0,0.893976575813452,0.890591169048616,0.890029649059782,0.915085536463928,0.914379513514889,0.914539410127186,0.889093270889768,0.894171060248331,0.935633541662514,0.892269869873369,0.894377218305153,0,0.916571804662386,0,0.914693585274817,0.894558120843988,0.890430368071374,0.915496669608131,0.915418646233149,0.915663799408299,0.891129254283424,0.916886269037662,0.893705579098703,0.892119398239649,0,0,0.914228199187392,0.91671581732737,0,0.89316277792673,0.9148445841334,0.892423672751859,0,0,0,0.915239029676096,0.914940370895311,0.914612700351749,0.914591295516062,0,0.915386769743211,0,0.891269452410593,0.891247322325077,0.893573495596013,0.913430919022398,0.891076909688497,0,0,0.915783866510929,0.915754530123364,0,0.914848438396386,0.891295209077943,0,0,0.891629752345213,0.89056693399544,0.915799062199386,0.914774526473521,0.914589438554851,0.936731874820127,0.915104413464166,0,0.890500925708299,0,0.894284306770926,0,0,0.89138016767359,0,0.893305744630245,0.914589438554851,0.916967798550106,0.891471430632273,0.915540296389537,0.915540296389537,0,0.894136387528858,0.892731535707752,0.892731535707752,0.892477105865704,0.914906808343913,0.914854641509688,0.915253416527986,0.892758474188757,0,0,0.915267435292884,0,0,0,0,0.915386769743211,0.914808924246366,0.917015588009085
"Phase II - Conjugation of compounds",0.884040211924421,0.88312435100634,0.883975911234271,0.858604907216295,0.882885758281838,0.88338238224105,0.885380355949194,0.860924594711204,0.840331132221973,0.85991501015152,0.882935554098624,0.85706439617034,0,0,0,0.906026435696564,0.882349565757197,0.88467447611387,0.883608497667311,0.883941350894946,0,0.858994081129961,0,0.884330548474285,0,0.885384221213014,0,0,0,0,0,0.885174297668012,0.88287129251832,0.885106270321814,0.883745283232192,0.88639209681929,0.883993572030697,0.885129549500537,0.88522774457233,0.885911083847624,0.884550646549032,0.884858596787359,0,0,0,0,0,0,0,0,0.885912991529756,0.884686417051056,0.858979752607143,0,0.856405534977414,0.859947727266698,0.88414305787016,0.85930642018759,0,0,0.884949950403655,0.858871030295747,0,0,0,0,0,0.858367281688497,0.861142888197848,0.885017630327779,0.886941542405274,0.883716665938668,0.884996503795005,0.837950354551219,0.9081372446895,0.907556130719394,0.827535744159255,0,0.883927865230069,0.839259263327473,0.907903976010978,0.860699128694436,0.861237431508337,0,0,0.860702288757569,0.884481475031865,0,0.839769467572525,0,0,0,0,0,0.862319448443841,0.884429015860843,0.884858596787359,0.861920743891971,0.886623345866011,0.812188689166118,0.812197698199124,0,0,0.837868975747622,0.884168442374727,0.861342838500586,0,0,0,0.884686417051056,0,0.884594170359273,0,0.861743062589298,0,0,0,0.861148216959321,0.839034727133538,0.884069033128589,0,0.885280225025299,0.859764366119751,0.857194695731428,0.812060838787392,0,0,0.840662423202604,0.838184528376606,0,0,0,0,0.837238223617778,0.838283572737946,0.837944758489825,0.837922625699887,0.863804129889896,0.838745153105742,0.883533009448614,0,0,0.860659792774981,0,0.859908665972036,0,0,0,0,0,0.840474418492465,0,0.812048746007311,0,0,0,0.907757267754181,0,0,0,0,0.885552324414765,0.884664984229497,0.862178771141165,0.885875644516083,0.886308532913451,0.885989836065683,0.886308532913451,0.884854468821429,0,0,0,0.860132173838831,0,0,0.858253613087836,0,0,0,0,0,0,0,0,0,0.885802035671077,0.838621760225739,0.885556419042343,0.862133316534905,0,0.885674545885554,0,0,0
"Glucuronidation",0.807158125395773,0.856907446919653,0.859383446534154,0.808193329765662,0,0,0.857840213281448,0,0.770791854767762,0.810829735561995,0,0,0,0,0,0.902994809371849,0,0.860026865026924,0.85864407619039,0.859313898503638,0,0.808976489877881,0,0.86009710623984,0,0.857031706763097,0,0,0,0,0,0.856609263887848,0.85716055006765,0.861658142033425,0.858156989436765,0.859703703357659,0.859418986509536,0.861704988246854,0.861902592610211,0.858091946891114,0.860540023986547,0.861159732386152,0,0,0,0,0,0,0,0,0.863281559866832,0.860813243844989,0.808947655654559,0,0,0.810895574352042,0,0.809605030185527,0,0,0.860699786628182,0.808728866638636,0,0,0,0,0,0,0,0.861479765977789,0.865351380044414,0.858861750275318,0.861437251674551,0,0.907344540709285,0.906073114683878,0.745042858755415,0,0.860167070711517,0,0.906773106507652,0,0,0,0,0,0.859740488718222,0,0,0,0,0,0,0,0.815668343949442,0.860295258600002,0.861159732386152,0,0.86471105234349,0,0,0,0,0,0.860321234970624,0,0,0,0,0.860813243844989,0,0.860627609795656,0,0,0,0,0,0.813311398253335,0,0.858808492521354,0,0.862008202457103,0.810526584727154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906477875890125,0,0,0,0,0.862555765849474,0,0,0,0.86407753365532,0.863436199150881,0,0.86115142541041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862295926848255,0,0.861801656446853,0,0,0,0,0,0
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0.337965022534574,0.512262791832421,0,0,0,0,0.509904809774736,0,0,0,0,0,0,0,0,0.513214108210115,0.504721366986615,0,0,0,0,0,0,0,0,0.519781844287918,0,0,0,0,0,0.518970161563007,0,0,0,0.339796521738697,0,0,0,0.520354212439363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513921861486794,0,0,0,0.525364921787142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608375503788643,0.52059355091111,0.605271763208544,0,0.524341360183489,0,0.521938516832481,0,0,0,0,0,0.610325536198241,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509819001353907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526119835019493,0,0.336003891935141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521548848482791,0,0,0,0,0,0,0,0,0,0.520483137740435,0.520483137740435,0.519604082935984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.710879094323255,0.711534360232375,0.712063226008311,0,0.791943131696619,0.793812794028568,0.792837471428558,0.709264961358499,0,0,0.792130600225287,0,0,0,0,0.793651609917833,0.78992450382457,0.71326693695855,0.710680007793305,0.711933115160021,0,0,0,0.713398344616389,0,0.715528407409711,0,0,0,0,0,0.714738098892778,0.707904618744071,0.716318739195607,0.795179023548462,0.712662364282504,0.712129714394982,0.716406379356274,0.716776058715292,0.717511910629338,0.714226957638486,0.715386311612519,0,0,0,0,0,0,0,0,0.719355838447252,0.714738098892778,0,0,0,0,0.796676543439355,0,0,0,0.721473417126873,0,0,0,0,0,0,0,0.710086780567411,0.715985032263274,0.723228069725617,0.711087233700791,0.715905496264658,0,0.800871857059373,0.800302792244137,0.799659374091706,0,0.805378117041178,0,0.71762828785301,0,0.710442711978049,0,0,0,0.720428396477612,0,0,0,0,0,0,0,0,0.713769049170926,0.799047646517961,0.713015208533913,0.722030141046219,0,0,0,0,0,0.797801698960328,0,0,0,0,0.714738098892778,0,0.714390813664842,0,0,0,0,0,0,0,0,0,0.716973634213331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721531883016351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855780108371,0,0,0,0,0.801982071948895,0.798641462843668,0,0,0.72084495070634,0.719645138493238,0.80482900375487,0.715370770875384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanol oxidation",0.589710131096869,0.678302761976975,0,0,0,0.583660273581687,0.585912928607065,0,0,0,0,0,0,0,0,0.587863664990866,0.581126893615041,0,0.587990798111726,0.589316409958121,0,0.588028643794157,0,0.592375144583594,0,0.589866454766624,0.586083004758863,0.584970328801269,0,0,0,0.589030419196026,0.586563553102589,0,0,0,0,0,0,0.591964722987798,0,0,0,0,0,0.586910572525215,0,0,0,0,0,0.593792416708243,0,0,0,0,0,0,0,0,0.508070505271504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593218730623094,0.771263415362588,0.770582769196344,0,0.781094089381102,0,0.592087833768605,0,0.589248499778015,0,0,0,0.506172006746576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592283689350016,0,0.591916310285414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595217993141789,0,0.594239807305841,0.494175481593459,0,0.500329783001205,0,0.592864678602855,0
"Potassium Channels",0.873058562982298,0.840547328485436,0.84713707772229,0.873730623813494,0.87215725022403,0.872806059416133,0.872467603504956,0.872498427450381,0.873771779618873,0.875442194129842,0.904031316576292,0.904561662727734,0.903868756409591,0.873306465698244,0.873158748403243,0.872797783168148,0.871344757620121,0.87388719081771,0.841488016635906,0.873424328712224,0.875748259340146,0.874239056014215,0.873187756104691,0.842431332382238,0.875408686216479,0.874671965047426,0.873600810173532,0.875965057641546,0.874089067743149,0.874089067743149,0.873945360605863,0.844084610072815,0.872026362105977,0.848613823563425,0.87589742693979,0.873677392340835,0.873492552470399,0.874976638388491,0.875104924315935,0.845047176693049,0.874220336665015,0.84312119559371,0.875825464924633,0.873424328712224,0.87548493706375,0.873872284827964,0.874356470973799,0.872655163386863,0.872614529006233,0.84421829316239,0.87600015805686,0.876520050239124,0.876949585445749,0.873245711050495,0.872137187322322,0.874620753757013,0.90536354922985,0.87449711984753,0.875733156854268,0.875653202544615,0.877053304302484,0.874078297535183,0.873744221542392,0.873730623813494,0.845451834236071,0.846218417118586,0.845777751230385,0.904999208267881,0.874905952317094,0,0,0,0.874802822214064,0.872761479876103,0,0,0,0.87477572138316,0,0.876098906022799,0,0.901902824690386,0,0.877645670112364,0.874830422752473,0.901906953121909,0,0.87319680930094,0.873435495196546,0.873902242010666,0.873902242010666,0.873785744426491,0.873717144084387,0.875400664401661,0.847081988011901,0.846833355544531,0,0,0,0.846069384641713,0.872413556383733,0,0,0.841153703938383,0.876312624625077,0.87658400511654,0.872316130732927,0.871891052772341,0,0,0.875400664401661,0,0,0.876849601559479,0.903695922855424,0.873084113293604,0.872978713849019,0,0.904640027344577,0.848597386948218,0.845107490602719,0,0.875245386805639,0.873168178159056,0.872234757832616,0.875407962872611,0.87434682666665,0.840527884083695,0,0.874830422752473,0.876272146179348,0.875669656956275,0.875442194129842,0.876511524982878,0.84169534985246,0.841252709511577,0.841223794358991,0,0.842298376710035,0.846063531612709,0.904829416803044,0.904799521932147,0,0.873963958866005,0,0.876608950051199,0.843545045086863,0.873472079003226,0.873432449354339,0.842034913651342,0,0,0.870747864876449,0.842372189456555,0.873757939411093,0.871488734395166,0,0,0.875378979994898,0.842298376710035,0.876824597657662,0,0,0.873757939411093,0,0,0,0,0,0.879246157753126,0.875528968265963,0,0.840761079283913,0,0,0.847323511719217,0.877190916279552,0.876063454277765,0.876063454277765,0.87571975261087,0.905392123099145,0.905321652482429,0.874296632661076,0.847658215966801,0.872964226721071,0,0,0,0.848497643319132,0,0,0.873799836158515,0.878554713705368,0.844031843867601
"TNFs bind their physiological receptors",0.200688603556214,0.325100308693627,0.201559057034812,0.330014427710994,0.198779333919837,0.38942810477047,0.326582095787669,0.199502056762624,0.266071133228282,0.205737899189258,0,0.390382759665086,0.198044004207515,0.201213741055921,0.2009008284254,0.200453911517033,0.260929921849069,0.202443903202754,0.200542255337748,0.19635989993128,0.329792635085168,0.203189266595896,0.265151707309589,0.202540500780815,0,0.204106306840629,0.201837257104206,0.201064067201786,0,0,0,0,0.198502070886259,0.199583765778107,0.200920803674043,0.201999482708336,0.394099406965148,0.331897036773249,0.332168787532125,0,0.203149613007603,0.204001852426883,0.206549789717039,0.453623697919698,0.205828442438683,0.266284035511376,0.203437989156555,0.194730560961433,0.199747997112731,0.206325857115388,0,0.203525352199847,0.331051796670188,0.201085043216963,0.388559388839016,0.332973776470964,0.197155345195823,0.204053651889244,0,0,0,0.39267128313573,0,0,0,0,0,0.201487066936472,0.327251508899508,0.204441971106026,0.204662804596618,0.200841606509767,0.20438350430918,0.26393099418685,0,0,0,0.204326096053177,0,0.196244088214433,0,0.198075258593131,0.200367819529254,0.204624143692012,0.202107935564065,0.198084003935832,0,0.200981453619751,0.201487066936472,0.20247578645908,0.20247578645908,0.202229007193908,0.202083689656768,0.205649925898861,0.212392081712641,0.202813005159425,0,0.194217892182917,0,0.194193827679175,0.194218759801646,0.207341336696031,0.205320998124816,0.262681670372523,0,0,0.199115893819457,0.198997656890989,0,0.198421839391564,0.205649925898861,0.198166550525859,0.206219738444199,0,0,0,0,0.209150747509963,0,0,0,0.205168690960951,0.205320998124816,0.328614307498074,0.193840007097278,0,0,0.200140404118945,0.263554949090342,0.267289567708831,0,0,0,0,0.263829050222557,0.192002833521585,0.262830144374071,0,0.201210455051816,0.191095633850826,0,0,0,0.20260652256247,0,0,0,0,0,0,0.194111390745694,0,0.197861650689599,0,0.195138145556397,0.198145417471709,0,0.269609607167213,0.269793422631712,0.202258858004106,0.202884848766197,0,0.335561243645159,0,0.209766317404902,0,0,0,0,0,0,0,0.335505721520014,0,0,0.396505035939173,0,0,0,0,0,0,0,0,0.194278420806901,0,0.264764969966508,0,0.203569939854699,0,0,0.194217892182917,0,0
"Collagen chain trimerization",0.840248079704638,0.842562490326307,0.789459066428088,0.844917839529304,0.842431692053502,0.84390909181459,0.844187323672926,0.843038383011186,0.844991023942129,0.792967002802308,0.843307239976231,0.844250316446968,0.843018170907138,0.844798928366027,0.844536253309639,0,0.892261151717684,0.841026684119974,0.788605510460509,0.789378777656728,0.844731655320638,0,0.844854548991759,0.790282941101648,0.846385528033783,0,0.845322340006105,0.844349615413352,0.846457286744676,0.846457286744676,0.846201742663733,0,0.786892874045208,0.79208505749495,0.844229352593773,0.846338604270652,0.845129833107879,0.847768876506415,0.792367260115537,0,0.847304083167145,0.848019497042076,0.845168262705032,0.789378777656728,0.848672747533743,0.845805083886305,0,0,0,0.793460565114392,0.793959189979794,0,0.84642399947045,0.844491749904355,0,0.793043009491807,0,0.846547557745585,0.846962510864923,0.846820333858522,0,0.790541683445428,0.846457441839993,0.846433261975305,0.845269750313512,0.846632909596185,0.84584930509658,0.789398634213801,0,0.791879133700407,0.79634866553733,0.845366623065408,0,0.843506150246969,0,0,0,0,0,0,0,0.78653458571732,0.844968901753823,0.848541880535787,0.847508871742343,0.786541927010586,0,0,0.897182712859528,0,0,0,0,0.844412870444935,0.798552867989783,0,0.791509675303445,0,0.795609447992374,0,0,0.846114357256353,0.844418380500049,0.843317095269987,0.784138492252071,0.796076629804901,0.842714217851401,0.791509675303445,0,0,0,0,0.845172829637111,0.797006409459245,0.78708109536903,0.845616581188462,0.845429156926125,0.847351641285124,0.788759928574881,0,0,0,0,0,0.843773270937181,0.849748915991931,0,0.792552328526241,0.84405017062097,0.791879133700407,0,0,0,0.84620144273491,0.844280265297048,0.843493149770048,0.843441732030939,0,0.845352584647446,0,0.789096706246595,0.789043546344781,0,0.841858080177543,0.792821339439879,0,0,0.846306472745517,0.84623600218717,0,0.845263181829217,0,0,0,0.789972013602032,0,0.786149137332884,0.845085633913301,0.844641023991819,0.897830594224602,0.845878073690368,0,0,0,0.79634866553733,0,0,0,0,0.794878091018944,0.844641023991819,0.850354214017111,0,0.846925132161917,0.846925132161917,0,0,0,0,0,0.845403395506987,0.845278082670603,0.84623600218717,0.792683378740501,0,0,0.84506592476726,0,0,0,0,0,0.845168262705032,0
"RA biosynthesis pathway",0,0.66873263362298,0,0.742692987582213,0,0,0.74084309946537,0,0.742794411838377,0,0,0,0,0,0,0.744126606139525,0,0,0,0,0,0,0,0,0,0.745583779001176,0,0,0,0,0,0.744907912059569,0,0,0,0,0,0,0,0.747280058651457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82530384659521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822145323636484,0.819125466635155,0.819560920163261,0,0.751291795252755,0,0.901146043790913,0,0,0,0,0,0.8237690645395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6745100891005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753653183081226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677708560272439,0,0,0
