"","UTRN","FUT9"
"Adrenaline,noradrenaline inhibits insulin secretion",0.876133578955466,0
"Interaction between L1 and Ankyrins",0.871905978650988,0
"ADP signalling through P2Y purinoceptor 1",0.817604639203545,0
"GABA receptor activation",0.874902756842302,0
"G alpha (s) signalling events",0.925027950132406,0
"Transmission across Chemical Synapses",0.890786783520621,0
"Signal amplification",0.827460676272142,0
"Ethanol oxidation",0,0
"Presynaptic function of Kainate receptors",0.841022179266984,0
"ADP signalling through P2Y purinoceptor 12",0.847963374312724,0
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0.861034739793349,0
"GPER1 signaling",0.857730227272411,0
"ADORA2B mediated anti-inflammatory cytokines production",0.85888995786312,0
"Neuronal System",0.88807806662591,0
"G beta:gamma signalling through BTK",0.820861359023932,0
"G beta:gamma signalling through PI3Kgamma",0.850420882634851,0
"Aquaporin-mediated transport",0.774481905945092,0
"Neurotransmitter receptors and postsynaptic signal transmission",0.899790985432415,0
"Regulation of insulin secretion",0.862029723031535,0
"Prostacyclin signalling through prostacyclin receptor",0.820861359023932,0
"Biological oxidations",0.853919856826463,0
"Integration of energy metabolism",0.880571262417398,0
"G beta:gamma signalling through PLC beta",0.820861359023932,0
"G beta:gamma signalling through CDC42",0.819065701911684,0
"Glucagon signaling in metabolic regulation",0.836071894004024,0
"Platelet homeostasis",0.708913499066465,0
"Vasopressin regulates renal water homeostasis via Aquaporins",0.854577541208102,0
"Peptide hormone metabolism",0.599865745902621,0
"L1CAM interactions",0.883024494764635,0
"G-protein activation",0.820861359023932,0
"Thromboxane signalling through TP receptor",0.820861359023932,0
"Activation of Matrix Metalloproteinases",0.880915743213881,0
"G-protein beta:gamma signalling",0.848834408511691,0
"Heme degradation",0,0
"Activation of kainate receptors upon glutamate binding",0.841022179266984,0
"G alpha (z) signalling events",0.876133578955466,0
"Glucagon-type ligand receptors",0.843214760681254,0
"Phase II - Conjugation of compounds",0.636732171803288,0
"GPCR ligand binding",0.878404377009706,0
"GABA B receptor activation",0.848707041604903,0
"Activation of GABAB receptors",0.848707041604903,0
