"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Biological oxidations",0.871062521958121,0.871934386718815,0,0,0.871751685164139,0,0.872184760842558,0.887100628112498,0,0.874154837209904,0,0,0,0.873114447166021,0,0.86039271400833,0,0,0,0.858280061104894,0,0,0,0,0.887111539358011,0,0.871200192103533,0,0,0.885762897772537,0,0,0.871217976057418,0.886179907734187,0,0,0.870831709058096,0.871434309426186,0,0.871224862527849,0.871623799027534,0,0,0.872593159232561,0,0.872593159232561,0,0.888217383934278,0,0.875044309321362,0.870700536721202,0.887554185846974,0,0.871945467411947,0.88648927085713,0.872977739885583,0.871215597266875,0,0,0.873215895062397,0,0.872630899181167,0.885693678853947,0.872766731931992,0.871275444622941,0.860771785847159,0.873389114660135,0.872571601802813,0,0,0.87282926255539,0.886294132504814,0.872561830034084,0,0.900677417150454,0.872626718957151,0.886386993519342,0,0.870967267003787,0.871138380101123,0.871998875362175,0,0,0.873669020099572,0.874369417707064,0.871826997358347,0.858630220197918,0.860164804060331,0.887913234623951,0,0.873168361849479,0.870970138597873,0.88638945643294,0.872883407734511,0,0.872909199597441,0,0.888338380176955,0,0.872594892944501,0.870871942929924,0.870704863263544,0,0.872214429893079,0,0,0.871142528961843,0,0.871562315743246,0.888520216410779,0,0.886087762821383,0,0.886862755931608,0.857697168310595,0.870787612169353,0.872855005501248,0.885710144894805,0.85946017774469,0,0.888064393455682,0,0.857126449443351,0,0.887189338862644,0,0.872105141725014,0.858278599819747,0,0.886478151780294,0,0.870970138597873,0.885486098877374,0.887113059399307,0,0,0.885894780763154,0,0.887961888684214,0.872364972537238,0,0.886500983707034,0,0.87144688817661,0.885154424088072,0.874761911865202,0,0,0.886386575229061,0,0.872531860041547,0,0.885810416034566,0.872671115817425,0,0,0,0,0,0.870787612169353,0.872129293103189,0,0.871192937874042,0.873492662275995,0,0.872003695871726,0,0.872674259487088,0.870791122949738,0,0.872194138064135,0,0.87149124642421,0,0,0,0,0,0.870961556799377,0.872285141134174,0.872356240704834,0.873230153453804,0.874446366475192,0.872452931196531,0,0,0.886571442872727,0.870970138597873,0.871890654175346,0.885850434720202,0.886461904234657,0.886961599874348,0.873800675812638,0,0.870964406433125,0,0.889435883064944,0.873979693992007,0.886812843734716,0,0.872082774180014,0,0.873062952983125,0.870970138597873,0.900934357858339,0,0.872863041871048,0,0.85742555632155,0,0,0.874431771973777,0.885862055385103,0.901957726074343,0.872723952958226,0.901836719723648,0.88680275454361,0,0.871200192103533,0.871200192103533,0.871200192103533,0.871200192103533,0.871200192103533,0,0,0,0.872799853736905,0.872630899181167,0.872508570828834,0.88646669692624
"Signal amplification",0.870611294336323,0.78038583637025,0,0,0.829424453596812,0,0.826852429762861,0.829942521640708,0,0,0,0,0,0.785388293170202,0,0.787081606036676,0,0,0,0.830163127887685,0,0,0,0,0.781986719866776,0.787081606036676,0.871797882184721,0,0,0.779993740244566,0,0,0.828180612455045,0.73721216043636,0,0,0.870336849480316,0.828720136911025,0,0.830632776651803,0.829048947258603,0,0.834699719215705,0.786005141148904,0,0.786005141148904,0,0,0,0,0.869436374554943,0,0.834673632248672,0.78042180171973,0.781776437266917,0,0.871108141140982,0.832305926571227,0,0,0.831618343793018,0.783171632148193,0.87425399082087,0.87315131861225,0.827748981532506,0.788311984948799,0.830370134565055,0.777086280373029,0.832817422590771,0,0.82998500199094,0.828226611254496,0,0.830299064363232,0,0.871964187605625,0.82894643884926,0,0.777246790994193,0.827922262516896,0.825981615095988,0.786341863420217,0,0.786341863420217,0,0.827767823741932,0.832618350226889,0.786341863420217,0,0.830774257124973,0,0.777256111519872,0,0.825899830843914,0,0.828391746032847,0,0,0,0.834120774365285,0.830854783639467,0.870190160120292,0,0.783502105779149,0.828855812293698,0,0.831733042886097,0,0.782659263241248,0,0.832633914646187,0.780211123116335,0,0.825342716573896,0.77943697851088,0.87045874379832,0.827637766706482,0.777857664525997,0.784054810490171,0,0,0.831097181811898,0,0,0.828302887234142,0,0.827143232785847,0.833169515634574,0,0.830026979288324,0,0.777256111519872,0.776257353857046,0,0,0,0.78042180171973,0,0,0,0,0.78086088420005,0,0.828760964605612,0.829173582012606,0,0,0.783502105779149,0.827991510926405,0,0.830429817634166,0,0.827395200485449,0,0,0,0.782446235489056,0,0,0.87045874379832,0.871550699737886,0,0.871034594028672,0,0.781994320510236,0.780610797740162,0.832884702562096,0.834378379679962,0.870470138973874,0.82710456350954,0,0,0.781710625326697,0,0,0,0,0.834165693701409,0.777228257000448,0.826748624054789,0,0.826224005073201,0.832946691799955,0,0,0,0.83087860117656,0.777256111519872,0.830363968975281,0.873495405970633,0.830030732354786,0.783253078635854,0.833686434416414,0,0.777237506247983,0.828243830929788,0,0,0,0,0.78119327856386,0,0,0.777256111519872,0,0,0.73629417253746,0.834120774365285,0.829242317335742,0,0.832732981720249,0.831062270618844,0.78031558276353,0,0.876597327880676,0,0.782303163734666,0.830416184830021,0.871797882184721,0.871797882184721,0.871797882184721,0.871797882184721,0.871797882184721,0,0,0,0.823887011517971,0.783002290719945,0.782575315328131,0.830538620227075
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734940366353346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743403422371329,0,0,0,0,0,0,0.737033673752582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741224108404829,0,0,0.811202121882068,0,0.732863209163512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744061798457238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736032493633945,0,0,0,0.656077552653465,0,0,0,0,0,0,0.737928928872321,0,0,0,0,0,0,0,0.729436953478107,0.74018795245588,0,0,0.735657980431595,0,0,0,0,0.736394070427242,0,0,0.726736958436321,0,0,0,0,0,0,0,0.65591982098762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659463964368991,0,0,0.656357700883992,0,0,0.730028915101653,0.733851341844183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812600211722097,0,0,0,0,0,0,0.658264200910012,0.735479912040094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0,0.748403503040466,0,0.724994843883679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748954463670228,0,0,0,0,0.747610454289866,0,0,0,0.746738650759389,0,0,0,0,0,0,0.720418204992342,0,0,0,0,0,0,0,0,0.726603192855421,0,0,0,0,0.748603588934291,0,0,0,0,0.69788166678675,0,0,0.74701897250571,0.722484863337191,0.697528015346575,0,0.701349966577126,-0.019436878580526,0,0,0.720424770500843,0.747036561555026,0,0,-0.019436878580526,0.722231691010352,0.750099629620111,0,0.693803498796718,0,0,0,0,0,0,0,0,0,0.749872863159006,0,0.700950799979933,0.693808691230901,0.74839166767296,0.748344544508149,0,0.720569313154548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752244521039856,0,0.747731557572336,0,0.698832155871865,0,0,0.717620442588912,0.722152933907548,0,0,0.750319961709578,0,0,0,0.748603588934291,0,0.746937279097582,0,0,0.723541648706648,0,0.693808691230901,-0.019436878580526,0.722649626575546,0,0,0.74784892592896,0,0.749960839731614,0,0,0.748093537333758,0,0,0.717031791759838,0,0,0,0.747112348201492,0,0,0,0.746601764431638,0,0,0,0,0,0,0,0.719159081409306,0,0,0.723797495073806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693793173569797,0,0,0.723322824998372,0.723348827807544,0.721997311471425,0,0,0.747688596373981,0.693808691230901,0,0.746915224893377,0,0.749426220981407,0,0,0.69379832629516,0,0.752626125484883,0.702417855776699,0.747883129549126,0,0,0,0.723020492073451,0.693808691230901,0.747010579967406,0,0.7226590115645,0,0,0,0,0.724539834415031,0.74778975169802,0.773732960800682,0,0.773514156369146,0.748897026516055,0,0,0,0,0,0,0,0,0,0.722544754389638,0,0,0.748531334410542
"ADP signalling through P2Y purinoceptor 12",0.909605806560745,0,0,0,0.858766313478882,0,0.855591503622996,0.860064978348844,0,0,0,0,0,0,0,0,0,0,0,0.860787973447596,0,0,0,0,0,0,0.911070486143507,0,0,0,0,0,0.857230962575866,0,0,0,0.909267042112979,0.857896931350231,0,0.857057792126853,0.859875094180869,0,0.866191014283261,0,0,0,0,0,0,0,0.908155529602747,0,0,0,0,0,0.910219095641302,0.862451229636583,0,0,0.859384207379819,0,0.910902184562696,0.912741117361115,0.854443454822221,0,0.86087893797962,0,0.862954467282331,0,0.86037134398499,0.857415875647299,0,0.85984590024034,0,0.911275767324188,0.854054026564947,0,0,0.856912065091684,0.854516602624589,0,0,0,0,0.856721431654148,0.864281031471866,0,0,0,0,0,0,0.854415651208,0,0.858174005011466,0,0,0,0.864563275880758,0.857331829234599,0.909085974262903,0,0,0.858977514529505,0,0.858415919543334,0,0,0,0.86272795195094,0,0,0.853869984506175,0,0.909417503892168,0.856560894122373,0,0,0,0,0.860831066516304,0,0,0,0,0.855950459979196,0.800833677489391,0,0.859454601872412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857947327526758,0.855256616935152,0,0,0,0.856997542733883,0,0.861117165278719,0,0.856261479467238,0,0,0,0,0,0,0.909417503892168,0.910765373392196,0,0.910128311841419,0,0,0,0.863037515158192,0.864881254229624,0.909431569669935,0.855902728073326,0,0,0,0,0,0,0,0.864618722626297,0,0.855591503622996,0,0.855054764942385,0.865277903713074,0,0,0,0.860561258769493,0,0.859926016061705,0.910878926415272,0.858922683465869,0,0.86619101428326,0,0,0.857490747597841,0,0,0,0,0,0,0,0,0,0,0,0.864563275880758,0.859454601872412,0,0.862850236635464,0.860787973447596,0,0,0.916994742092136,0,0,0.85999046935645,0.911070486143507,0.911070486143507,0.911070486143507,0.911070486143507,0.911070486143507,0,0,0,0.851931102445364,0,0,0.860141599023347
"Neuronal System",0.898384399864965,0.886664594781223,0.877860354230947,0.878008808314999,0.886542476262551,0,0.888640895693059,0.889019839412754,0.877109341671527,0,0.876833907954741,0.877219314130142,0.877892975736939,0.8778325906895,0.877219314130142,0.887915508843579,0.877109341671527,0.887585876386641,0.887194847270822,0.887609990698083,0.877219314130142,0.877109341671527,0,0.87866691856584,0.887265825224998,0.877424170637844,0.895802350005114,0.886997344088341,0,0.886855408750209,0.876005345199683,0.877631363133216,0.886400181323917,0.887413620932876,0.878219837734479,0,0.895501477941291,0.888298345684998,0,0.886310489277585,0.886912617743259,0.877451936059948,0.888315020709987,0.878221033177066,0.87842891920839,0.878221033177066,0,0,0,0.877608322120922,0.897471497902007,0.879015624337654,0.8880049765791,0.886672001165004,0.887136124192476,0.877634488310579,0.89781576662471,0.88736473945434,0.886664208298097,0.877995890640683,0.887375797683613,0.887584935300882,0.896492757175317,0.896081064649883,0.886465125049548,0.888168882119522,0.886993968279558,0.885170529147852,0.887464271601509,0.877195438035472,0.886924097242438,0.88700751033749,0.878348282030964,0.896612467573874,0.877450933865154,0.897992053210061,0.886867932922311,0.875973667163441,0.886399698943338,0.886497502310194,0.887162487814446,0.877271834631237,0.887896630922115,0.87815055681158,0,0.888282900877025,0.887647668802997,0.887763172836971,0.887292197524056,0.887201973992265,0.886920241723115,0.886401618329392,0.877182845216877,0.886289270207512,0,0.88645053018988,0,0,0,0.888043461956715,0.895712221960023,0.895471270040839,0,0.886660758960434,0.887111578561762,0.876968966047816,0.898048538595489,0,0.886771155378573,0,0.886719466907238,0.876108159202848,0.886839855632674,0.895974733560464,0.887407188768349,0.895526579771603,0.8865560730877,0.886415524339689,0.887292197524056,0.879546384940702,0,0.887072104461256,0.887605312083872,0.877858923975535,0.887222521499068,0,0.886171740740253,0.88700751033749,0.878072166923101,0.886928863502852,0.877863657160884,0.886401618329392,0.88499982740321,0.887609990698083,0,0,0.886943559918275,0,0,0.878369037625203,0,0.886947583347403,0.877223877108501,0.886151297629217,0.895366010269038,0,0,0.886944722864839,0.886891228487281,0.879310057255214,0.886822441627194,0,0.886396148701714,0.878303390043884,0.877195438035472,0.878356609174108,0.887647668802997,0.878099360076062,0,0.897682035519212,0.895751447453312,0.877474954842588,0.897800620987379,0,0.886634222994239,0.886824771951328,0.886771111937232,0.888096510901099,0.895528926392576,0.896360026230675,0.887183029800317,0,0.887318941232807,0.878420248345767,0,0.887323806004547,0.888007796414865,0.887691709390464,0.886395882217722,0.887012891196391,0.878092926140691,0.889367859195345,0.887844038568205,0.887308098063373,0,0.877934654539098,0.896544444748437,0.886401618329392,0.88684980232167,0.895770391724289,0.886757378992814,0.887091779429718,0.887996374574813,0,0.88639778692539,0.896872155568744,0,0.887844038568205,0.876655721657868,0,0,0.877544544600988,0.877096525447753,0.886401618329392,0.887477525328156,0,0.886721818082422,0.887255049118989,0.886771155378573,0.8972048841797,0.897519092552744,0.887342310115189,0.886921686132375,0.887124035512624,0.898946160857573,0.887043154338279,0.887244593550448,0.887012891196391,0.897957805752724,0.897957805752724,0.897957805752724,0.895802350005114,0.897957805752724,0,0,0.878127694715807,0.886241127778341,0,0.887229327208255,0.886924253822711
"TNFs bind their physiological receptors",0,0.0931100411817695,0,0,0.0924310104641354,0,0,0.141127492149678,0,0,0,0,0.0893327592977077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814741722471399,0,0.083155650090691,0,0,0.139035055997368,0,0,0,0,0.139652846114619,0,0.13887441334246,0.243030379512474,0,0,0,0.0883737847262554,0,0,0,0,0,0,0,0,0.0931512238144127,0,0,0,0,0.0825729001860337,0.0858000881563184,0,0,0.140932195928171,0.191987946039529,0.137907753151122,0,0,0.138398882758327,0,0,0.141948250539864,0.144134372724025,0,0,0,0.0822864667763019,0.140759029109845,0,0.0800102169584931,0.138739228742808,0,0,0,0,0,0.139409439193615,0.144728043941553,0,0.0878058360746409,0,0.0855234777591313,0.0800208895583881,0.140737023859135,0,0,0.142245345477701,0,0,0,0,0.139128625587001,0.137788830800937,0,0.142062937741553,0,0,0,0,0.141097828960028,0,0,0,0,0.191396700119254,0.0856122873596498,0,0.181661711501664,0.138243445659749,0,0,0,0.141527662277355,0,0,0,0,0,0.144747670219158,0,0.141097828960028,0,0.0800208895583881,0.137449708714731,0,0,0,0.0836458079435946,0,0,0,0,0.141682324869021,0.0856122873596498,0.13969959644437,0.135819932720733,0,0,0,0,0,0.144579068221107,0,0.138135708901219,0.144929073831262,0,0,0,0,0,0,0,0,0,0,0.1403364268712,0.0838622205127162,0,0,0,0,0,0,0,0,0,0,0,0,0.0799889943465393,0,0.143758805334928,0.142062937741553,0.14795839772827,0,0,0.145125448961728,0,0.0800208895583881,0,0.138068464988755,0.142062937741553,0,0,0,0.0799995853283859,0.143333827470845,0,0.14795839772827,0,0,0,0.0873953345167346,0.0820485742184733,0.0800208895583881,0,0,0.0824128293620823,0.145836922497286,0.141097828960028,0,0,0.144273691350937,0.0835241804238822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802203931947011,0,0,0.14258217893963
"Potassium Channels",0.939681947645837,0,0,0,0.918732854832489,0,0.91753865911557,0.919644246472515,0,0,0,0,0,0,0,0,0,0,0,0.92005092661228,0,0,0,0,0,0,0.94028548844967,0.896692593251879,0,0.896613647146389,0,0,0.918100192966318,0,0,0,0.939542355226088,0.918374614303338,0,0.918028835767633,0.919189742744376,0,0.921792302062063,0,0.898002052932237,0,0,0,0,0,0.939084341636091,0,0,0,0,0.896721836888767,0.939934661610733,0.920365300929276,0,0,0,0,0.940216137533221,0.940973894378073,0.917599446927079,0,0.920251273800058,0.89613155693253,0,0,0.919394229110682,0.91829041599878,0,0.919177712990879,0,0.940370077304638,0.916791094009576,0,0.895216451008827,0.917968786994521,0.917132972746443,0,0.921010387737879,0,0,0.916191608425557,0.921005268109475,0,0,0,0,0.895221191759853,0,0.917054133407635,0,0.919149938767167,0,0,0,0.921121570691572,0.918141756421567,0.939467743797712,0,0.896670405688065,0.918819883049011,0,0.917551058351287,0,0,0,0.920365300929275,0,0,0.916715257018743,0,0.939604355013773,0.917824082301703,0,0,0.900791364134853,0,0.919583663925883,0,0,0,0,0.917844169131528,0,0,0.919016473266984,0,0.895221191759853,0.895709935409564,0,0,0,0,0,0,0,0,0,0,0.918395380721639,0.917286637449422,0,0,0,0.918275633579372,0,0.920186574507361,0,0.917700704490087,0,0,0,0,0,0,0.939604355013773,0.940159762661345,0,0.939897252932274,0,0,0,0.92049286058747,0.921252597921374,0.939610151005552,0.918704376266145,0,0,0,0,0,0,0,0.921792302062063,0.895207023960085,0.91753865911557,0,0.917370288043398,0.922063926441667,0,0,0.898030768050968,0,0.895221191759853,0.919210725786165,0.94020655370263,0.919445172973893,0,0.922440185859771,0,0.895211728456511,0.943309274982673,0,0,0,0,0,0,0,0.895221191759853,0,0,0,0.921121570691572,0.919016473266984,0,0.919872730115335,0.920427186030382,0,0,0.94272665731652,0,0,0,0.94028548844967,0.94028548844967,0.94028548844967,0.94028548844967,0.94028548844967,0,0,0,0.915916314744069,0,0,0.919299559627707
"ADP signalling through P2Y purinoceptor 1",0.848111298193104,0.735650600571009,0,0,0.796774336909324,0,0.793847891366744,0.79808570931114,0,0,0,0,0,0.741885867137997,0,0.743996481487305,0,0,0,0.799338716672569,0,0,0,0,0.737646007176745,0.743996481487305,0.84959030977397,0,0,0.735161875938036,0,0,0.795223962484106,0,0,0,0.847769218910149,0.79589644781221,0,0.797591335482977,0.796971921687845,0,0.803349643535815,0.739776915079475,0,0.739776915079475,0,0,0,0,0.846646830167752,0,0.803317127674135,0.735695429252226,0.737383902351665,0,0.848730588352697,0.800774740306993,0,0,0.799508891297115,0.739134458902532,0.851962599283276,0.851277288241668,0.79561704791685,0.745530076039398,0.799573264819627,0.731537899148864,0,0,0.798395072757706,0.795546711106111,0,0.797864487507134,0,0.849797599646194,0.796178519795228,0,0.731737966145906,0.794901944564443,0.793133163562505,0.74307443606262,0,0.74307443606262,0,0.790546865888618,0.800755340178781,0.74307443606262,0,0.798456787182803,0,0.73174958362997,0,0.792660533148856,0,0.796607856243958,0,0,0,0.802628023017276,0.797868054064102,0.84758637929776,0,0.736657029515011,0.796987604577857,0,0.79896275227673,0,0.735606476135348,0,0.800774740306992,0.735432830832157,0,0.791830096995294,0,0.847921152968981,0.794547337361211,0.732499383877599,0.740223759836534,0,0,0.798859293708008,0,0,0.795376370765192,0,0.794596561297263,0.801442335264767,0,0.799089552764574,0,0.73174958362997,0.730504691267559,0,0,0,0.735695429252226,0,0,0,0,0.736242719597584,0,0.795947337119054,0.795772535658739,0,0,0.736657029515011,0.795653889834189,0,0.799671129670119,0,0.794244992911519,0,0,0,0.738218766225185,0,0,0.847921152968981,0.849282211471808,0,0.848638916226615,0,0.734777664344375,0.735931001614891,0.801087332613134,0.802949112807816,0.847935356381424,0.794162161171352,0,0,0.737301871660152,0,0,0,0,0.804271688960499,0.731714864618762,0.793704487466546,0,0.793155858272018,0.802027067383132,0,0,0,0,0.73174958362997,0.797945387267738,0.851017068128474,0.799218060719553,0.739224448492764,0.802949112807817,0,0.731726393258834,0.795302760574273,0,0,0,0,0.736657029515011,0,0,0.73174958362997,0,0,0,0.802628023017276,0.797469360255718,0,0.801177651618885,0.800926393319744,0.735563033604875,0,0.855572535005449,0,0.738040435744283,0,0.84959030977397,0.84959030977397,0.84959030977397,0.84959030977397,0.84959030977397,0,0,0,0.78987224283004,0.738911856186622,0.738379656611099,0.797497448502123
"Activation of Matrix Metalloproteinases",0.907356527795994,0,0,0,0,0,0,0.872916637106759,0,0,0,0,0,0,0,0.877988088904126,0,0.910808136575504,0,0.908930276347842,0,0,0,0,0.837390773339881,0.878667057809886,0,0,0,0.908989496351826,0,0,0.90730044645302,0,0.910306716056867,0,0.907144327173896,0.907717606486046,0,0.907191973213718,0.872225725852192,0,0.912912985073526,0.911852324431792,0,0.911852324431792,0,0,0,0,0.906448080422808,0.879837018753494,0,0,0.910367876776434,0,0.907740689490878,0,0,0,0.909958498562782,0,0.90007558840616,0.909320473265175,0.869808246720036,0.878939417248797,0,0,0,0.908481728025078,0.908530268101244,0.875512933296357,0,0,0,0.871920842531033,0.909036520253101,0,0.906865556598386,0.907100690413166,0.909729562959684,0.878095089197725,0,0.912912985073525,0,0.853188964881821,0,0.877416120291966,0,0,0,0.906872763224068,0,0,0,0.87667454361054,0,0,0,0,0.868814381793909,0.907030907035858,0,0.909916978765917,0,0,0,0,0.908693324735144,0,0,0,0,0.908921237083272,0.875636158226605,0.907238575798144,0.870149724905786,0.907337883700296,0.875647772137851,0,0,0.909142628131778,0,0,0,0,0,0,0,0,0,0.906872763224068,0,0,0,0,0.909320473265175,0,0,0,0,0.909659971614066,0,0.90774917443859,0.939958962045615,0,0,0.908932101899623,0.873698907195387,0,0.874828335089548,0,0.907265134932565,0.911280355819632,0.908481728025078,0.910820245144637,0,0,0,0.907238575798144,0,0,0.90768382290131,0,0.942074428735646,0,0.91061510869261,0,0.907247386542046,0,0,0,0.873835249370112,0,0,0,0,0.876181991581043,0.906851226123915,0,0.910490137214723,0.909916978765917,0.912588593298753,0,0,0,0,0.906872763224068,0,0.907582036094171,0.909916978765917,0.911509615126582,0.875510883631531,0,0.906858377637372,0,0,0,0,0,0.836777284930856,0,0,0.906872763224068,0,0,0,0.911893376599549,0.90828041648101,0,0,0.910100511681483,0.909238344822645,0.908192791179098,0,0.907889110558408,0.909790264545222,0.909600958480482,0,0,0,0,0,0,0,0,0.831412911184696,0.911315706038451,0.910985568884191,0.910267594078934
