"","WASF1","RPF2","FHL5"
"Neuronal System",0.930487433324517,0,0.930759274684368
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.783195674836127,0.77289670539675,0
"GPCR downstream signalling",0.945538776621328,0.943141674511295,0.943309248792019
"Signaling by GPCR",0.940830850691484,0.938566097733318,0.938724419878376
"Classical antibody-mediated complement activation",0,0,0
"Nitric oxide stimulates guanylate cyclase",0.818189946967503,0,0
"Signaling Pathways",0.918513397703189,0.917763078645708,0.917903896678096
"G alpha (i) signalling events",0.955541170388479,0.955487928832693,0.955965078399785
"GABA receptor activation",0.918906179951746,0,0
"Transmission across Chemical Synapses",0.926194983782166,0,0.926652373992305
"Cardiac conduction",0.924219254259536,0,0.915945860477735
"G-protein beta:gamma signalling",0.917099531709441,0,0.890830297184784
"Regulation of insulin secretion",0.910583551792508,0,0.911722757628634
"Interaction between L1 and Ankyrins",0.904340592753998,0,0
"Neurotransmitter receptors and postsynaptic signal transmission",0.911293325802235,0,0.911795965949061
"Anti-inflammatory response favouring Leishmania parasite infection",0.880705244679226,0,0.865887395575405
"Leishmania parasite growth and survival",0.880705244679226,0,0.865887395575405
"Protein-protein interactions at synapses",0.880586242570999,0,0
"G1/S-Specific Transcription",0.892951050183422,0,0.854604583240576
"G beta:gamma signalling through PI3Kgamma",0.901131832542904,0,0
"Ethanol oxidation",0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.912928723372376,0,0
"Extracellular matrix organization",0.886675097874814,0.880828311085574,0.887430112007783
"Muscle contraction",0.931185771024007,0,0.924549859866082
"RA biosynthesis pathway",0,0,0
"Phase 0 - rapid depolarisation",0.92271627174728,0,0
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0.938183004136345,0,0
"Cytosolic sulfonation of small molecules",0.572117726297354,0,0
"ADP signalling through P2Y purinoceptor 12",0.900864586044048,0,0
"GPCR ligand binding",0.942077671401619,0.942257792329915,0
"Neurexins and neuroligins",0.93928887798421,0,0
"Generation of second messenger molecules",0.884058823383118,0,0
"DNA strand elongation",0.848325581603019,0.79780743187936,0
"Immune System",0.886186480721552,0.884919506125875,0.884944737799662
"GABA B receptor activation",0.91790402234092,0,0
"Activation of GABAB receptors",0.91790402234092,0,0
"Molecules associated with elastic fibres",-0.0303462575558861,0,-0.0303462575558861
"G0 and Early G1",0.881664585418131,0.835908203159652,0.840630222834293
"Initial triggering of complement",0,0.75297520333705,0
"Signaling by Retinoic Acid",-0.0195361632649727,0,0
"NCAM1 interactions",0.91360221304175,0,0
"Signal amplification",0.913525857182137,0,0
