"","HBS1L","GRIK2","EPM2A","PACRG","SGK1"
"Integration of energy metabolism",0.883209429538146,0.905310521651372,0.90415503041021,0.884331606349838,0.903480648968329
"Neuronal System",0,0.913093609376108,0.906642243927967,0,0.906387558251582
"Transport of small molecules",0.847960993755686,0.853346033153751,0.853425411102122,0.847988351104537,0.853209881925236
"ADP signalling through P2Y purinoceptor 1",0,0.873146806149338,0,0,0.872889090569721
"Regulation of insulin secretion",0,0.894189751454,0.893244872822664,0,0.892344056823734
"Extracellular matrix organization",0.800468136566688,0.810738028717222,0.791583694048146,0.782490729462701,0.800855935761501
"Transmission across Chemical Synapses",0,0.898425972255346,0.888503863666352,0,0.888168635185207
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0,0.890059288429515,0.888597521517122,0,0.887203921346987
"Activation of Matrix Metalloproteinases",0,0,0,0,0.861170257358096
"Signal amplification",0,0.873146806149338,0,0,0.871734994368845
"Glucagon signaling in metabolic regulation",0,0.855104163328631,0.856792708497922,0,0.854958525834106
"Axon guidance",0.825968989359462,0.826213782457422,0.826557934701946,0.820440117999899,0.826229571174223
"Adrenaline,noradrenaline inhibits insulin secretion",0,0.884846257577853,0,0,0.884183238148208
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.90097456150187,0.888001587903992,0,0.887563282860649
"Plasma lipoprotein assembly",0,0,0.180744770331715,0,0.176794025907921
"G beta:gamma signalling through BTK",0,0.864926874652311,0,0,0.865220887945717
"Cardiac conduction",0,0.840232162653112,0.840965822782054,0,0.839092259389882
"NCAM1 interactions",0,0,0,0,0.872451838355207
"G-protein activation",0,0.870583983777969,0,0,0.87085702722489
"Thromboxane signalling through TP receptor",0,0.85070057299444,0,0,0.85036493934689
"Nervous system development",0.818065083095823,0.818303800360708,0.818639410650385,0.81267343986792,0.818291846363462
"Assembly of collagen fibrils and other multimeric structures",0,0,0.815133249178184,0,0.813340928512724
"G-protein beta:gamma signalling",0,0.879345109613224,0.830954884999925,0.831824526727733,0.878288702866624
"Collagen formation",0.889933687407803,0,0.868054383999388,0,0.866792719515595
"Formation of Fibrin Clot (Clotting Cascade)",0,0,0,0,0.817429019221411
"Aquaporin-mediated transport",0,0.796805874408027,0.798540974284245,0,0.796564138133742
"G beta:gamma signalling through CDC42",0,0.862412750575969,0.803158377278133,0.804215894309313,0.861087195282648
"Thrombin signalling through proteinase activated receptors (PARs)",0,0.871213634016334,0.822466445938151,0,0.870223885350275
"Developmental Biology",0.815998153768909,0.816147828587858,0.816358254965559,0.812596704524583,0.816157482345862
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0,0.636535042243761,0,0.633640094443448
"Glucagon-type ligand receptors",0,0.874346814564575,0,0,0.874071667725422
"Presynaptic function of Kainate receptors",0,0.910874054812568,0,0,0.856426850971913
"Metabolism of Angiotensinogen to Angiotensins",0,0,0,0,0.833369855376683
"Intrinsic Pathway of Fibrin Clot Formation",0,0,0,0,0.802417244593458
"NCAM signaling for neurite out-growth",0,0,0.805321770181873,0,0.842594168368473
"GABA receptor activation",0,0.654937367913529,0,0,0.654166207971917
"Interaction between L1 and Ankyrins",0,0.835450349050355,0,0,0.87755433097569
"Biological oxidations",0.871801541778266,0,0.88454981379911,0,0.883209479201711
"Molecules associated with elastic fibres",0,0,0.543069124129009,0,0.49168498240234
"Presynaptic depolarization and calcium channel opening",0,0.770588060585262,0,0,0.760814220342209
"Vasopressin regulates renal water homeostasis via Aquaporins",0,0.867358679062916,0.869247412548718,0,0.867095538362929
"GPER1 signaling",0,0.867358679062916,0.869247412548718,0,0.867095538362929
"ADORA2B mediated anti-inflammatory cytokines production",0,0.867358679062916,0.869247412548718,0,0.867572748314538
"Phase II - Conjugation of compounds",0.78774301161811,0,0.810581008260426,0,0.80934948622027
