"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Biological oxidations",0.938420714769302,0.938874342499627,0,0,0.93877928361514,0,0.939004611149774,0.939354264075851,0,0.932705013650727,0,0,0,0.93948832320678,0,0.925753966944995,0,0,0,0.93177005176945,0,0,0,0,0.93940762544638,0,0.938492343992562,0,0,0.946328717310268,0,0,0.938501596912282,0.939113650733632,0,0,0.938300623745225,0.93861415429445,0,0.938505179915166,0.938712744972332,0,0,0.939217099190439,0,0.939217099190439,0,0.947346320497526,0,0.947646435615832,0.938232375305618,0.947001261198582,0,0.938880107739722,0.946669992782829,0.939417194958295,0.938500359237125,0,0,0.93954110613947,0,0.939236735133995,0.949281869064345,0.946461421255396,0.938531497575915,0.92595119649897,0.939631231599878,0.939205882946396,0,0,0.94656045723723,0.946345660509733,0.939200798734407,0,0.953829225693893,0.946388573067401,0.946393975722316,0,0.938371153999461,0.938460183456177,0.93890789568154,0,0,0.939776865274872,0.939581999652474,0.938818468247053,0.931952238138005,0.925635386315189,0.947188072833963,0,0.939516374799861,0,0.938372648078321,0.939279967528549,0.939368114319283,0,0.946602048158883,0,0.947409274356218,0,0.939218001233792,0.938321557267006,0.938234626388206,0,0.939020047837499,0,0,0.93846234209173,0,0.938680755466665,0.940388593379933,0,0.939122997555184,0,0.939540159584688,0.93146677499165,0.93827768031127,0.939353336751485,0.94604181410372,0.92526877207557,0,0.947266720166493,0,0.931169832259161,0,0.946737245740665,0,0.938963185642963,0.931769291468663,0,0.946441404999057,0,0.938372648078321,0.945925243861457,0.946953253360785,0,0,0.946397335500151,0,0.946915145068381,0.939098374570113,0,0.946676086931552,0,0.938620698967733,0.945752674801826,0.940345492467396,0,0,0.946479362296933,0.939185205467761,0,0.945305555784368,0.932156306279886,0,0,0,0,0,0.93827768031127,0.94619626594494,0,0.938488569646119,0.932512527921077,0,0.938910403773281,0,0.939259295326867,0.938279506956192,0,0.939009490080466,0,0.938643778385649,0,0,0,0,0,0.93836818300306,0.939056838611999,0.931992478024519,0.946702537610364,0.947401829906376,0.939144139106971,0,0,0.946489943979446,0.938372648078321,0.938851588633053,0.946067451384945,0.946432951466373,0.946190319279899,0.939845365213159,0,0.938369665656044,0,0.940655680383377,0.939938507652279,0.946615543877571,0,0.938951547899212,0,0.946615543877571,0.938372648078321,0.953962910911373,0,0.938588919942801,0,0.931325456365558,0,0,0.946886000402949,0.946380308617498,0.954495365280492,0.932183797231854,0.954432406162639,0.946106548002848,0,0.938492343992562,0.938492343992562,0.938492343992562,0.938492343992562,0.938492343992562,0,0,0,0.938400576996154,0.939236735133995,0.939173088184004,0.939076464987674
"Extracellular matrix organization",0.87434870115113,0.875423499142805,0.875836616815642,0,0.875333234854439,0,0.867589637535248,0.875099803792119,0,0.868046340410742,0.862155065770908,0,0.86904329591507,0,0,0.87608729482164,0,0.875251681736449,0.875368117688654,0.874545091989705,0,0,0.868503938209279,0.876274576477956,0.867343804268658,0.876132236578651,0.867437044192345,0.868245791564522,0,0.87510606940933,0.867775829000726,0,0.875143904049978,0,0.88244100491833,0,0.87472539763105,0.874664209989521,0,0.874560732078442,0.87546996343021,0.87590067910022,0.875686989466769,0.875814802581169,0,0.875814802581169,0,0,0,0,0.874700931824022,0.876319518234967,0,0.875428973594743,0.875441282797656,0.875144085044162,0.874955399136589,0.875787637909231,0.875173751165166,0.868573694116027,0.875473290883302,0.875821761742609,0.880813694198612,0.88136011545358,0.874495146149061,0.876274576477956,0.874665086803405,0.867427944348867,0.861275276837652,0.867858163019038,0.874323638219917,0.875466363398298,0.875649559543146,0.87608729482164,0.875221359864081,0.874937818314549,0.881089843753362,0.867752414080292,0.867804040269999,0.875104579412788,0.86742345676711,0.876019636938741,0,0.87462486013813,0,0.888085689732595,0.875374834917627,0.87597469518173,0.86884032035809,0.867531541732992,0.868151282240511,0.861950681216129,0.867805458990256,0.867362995530178,0.867444638054529,0,0.873647638637854,0.868501786892424,0.868976830581334,0,0,0.875043742716908,0.874703069366124,0,0.875352517518337,0.875246679335607,0,0.87517742661279,0,0.881978240014813,0,0.868312421211756,0.867498388998301,0.868171689539401,0.874675060393588,0.881814015462663,0.881497967179685,0.875094505393563,0.875038674430857,0.875626572293242,0,0,0.875232450196694,0,0,0,0,0.8671727328793,0.875508678403625,0.868555575728524,0.874605929784478,0.868587176188124,0.867805458990256,0.867301769615744,0.86807245432663,0.869072937268383,0,0.875118517007443,0,0,0.87569037983229,0.867824696519218,0.875301922237167,0.868548729552827,0.874670424561463,0.879360835450764,0,0,0.881480849687723,0.874998549575363,0.874665061603545,0,0.874830466737253,0.875412111276211,0.834205036236543,0.882542099959451,0,0.875369608461422,0,0.881497967179685,0.874991449874278,0.861698459189487,0.874944204190971,0.868449077276542,0.884395087040097,0.868316091272366,0.875683839823143,0,0.881499701691981,0.868417134843183,0.860796266175811,0,0.875269753043659,0,0,0.875715344395491,0,0.875733516091417,0.867801219125218,0.868846895599673,0.881800895846114,0.875016232738577,0.876072346554624,0,0,0.875953506579756,0.867540289198286,0.867805458990256,0.87547624282904,0.881311050058057,0.874419174028073,0.875549478742172,0.876184946194534,0.868876057928198,0.867802626995899,0.867708191445397,0,0.868967330116786,0.868044838532046,0,0.861147880697821,0.868785751941618,0.868322147440378,0.867805458990256,0,0,0.868123422137705,0.875486265957509,0.883027546364404,0.87464486863329,0.868839451834252,0.875646395388836,0.875102348929583,0.875101650171317,0.868301061957829,0.881531647807613,0.874926526785276,0.875596790485342,0.867437044192345,0.867437044192345,0.867437044192345,0.867437044192345,0.867437044192345,0,0,0.868043022074836,0.874329959225353,0.867993457130965,0.875401371502064,0.874624524781226
"Drug ADME",0.897266042439246,0.88609213694964,0.887996060217326,0,0.897942509593912,0,0.898225281398871,0.895517306468083,0.899236817942091,0,0,0.899362925561193,0,0.89943853878809,0.899362925561193,0.889248177149173,0.899236817942091,0,0,0.899327860558872,0.899362925561193,0.899236817942091,0,0.887277977770629,0.896714834612214,0.888437251040863,0.885662266858592,0.885350315793545,0,0.908342005602787,0,0,0.898041123022826,0.887504671226518,0,0,0.885317250841846,0.898176056400776,0,0.898015521076449,0.90866985468441,0,0.886911816337609,0.898824771463966,0,0.898824771463966,0,0,0,0.899624192307455,0.897044521915315,0.899954268133798,0.886505788135803,0.88610062999814,0.898760302713787,0.87733690992709,0.897383370480542,0.899438538788091,0,0,0.885784296104993,0.886024118396053,0.919326328773838,0.91916479284622,0.907686578311898,0.889538725355294,0.898340514464009,0.876398648563241,0,0.877051677890704,0.919436795065213,0.906896450570202,0.887195819118935,0,0.898554988309797,0.907193175952523,0.919766097887465,0,0.885350866115135,0.897980114897329,0,0.888262564293483,0,0.887323938039402,0,0.906847197206169,0.898772346521542,0.889073490401793,0,0.885584968999501,0,0,0.885353067113534,0.898520502624736,0.89800032963456,0,0.917784094922877,0,0.899449505560076,0,0,0.897628551477558,0.885457297585246,0,0.898447905775352,0.885306624002938,0,0.8857741165142,0,0.898577290431908,0.899828160514695,0.887624208744118,0.887559417144568,0.898297988891831,0.906705225031108,0.88726522934941,0.885346035613011,0.908292276942115,0.906221648054077,0.888533413585146,0,0.899138475028602,0.906795176109445,0,0,0.898585615966406,0,0.906659423034021,0.898601707279552,0,0.929712539009342,0,0.885353067113534,0.897389417503164,0.909081192204277,0,0,0.908443090311322,0,0,0.887044933226839,0,0.907105531033843,0.888081040474735,0.898185697669255,0.918445302607797,0.889477414492806,0,0.898776323741904,0.897904921273354,0.898566936677122,0,0.90637411636964,0.886516426687568,0.877051677890704,0,0,0,0,0.885346035613011,0.917186317906396,0,0.897366002675115,0,0.898420267326452,0.897142126733729,0.898534450009069,0,0.885348726530242,0.876667817063703,0.886913993271349,0,0.887979845259687,0,0,0,0,0.88737251716768,0.885346489399489,0.886163158210023,0.886275083517898,0.919420919258968,0.899489033180296,0.899287042737823,0,0,0.898153631786836,0.885353067113534,0.885880422055757,0.907882388782673,0.908625270947642,0.898759631148655,0,0,0.885348673565889,0,0,0,0.89810553681582,0,0.898447905775352,0,0.906841655443449,0.885353067113534,0.898751926341348,0,0,0.899051523704285,0.898577290431908,0.886150598055969,0,0.898729140284609,0.908418007203284,0.906274219099376,0.886739702167914,0.906181471038131,0.907656519433343,0,0.885662266858592,0.885662266858592,0.885662266858592,0.885662266858592,0.885662266858592,0,0,0,0,0.8988750955066,0.88818403774567,0.907627615412322
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0,0.893259558386611,0,0.87281685779175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895417549114993,0,0,0,0,0.894876339660289,0,0,0,0.894330716475666,0,0,0,0,0,0,0.893651557099703,0,0,0,0,0,0,0,0,0.908785786507652,0,0,0,0,0.895360445203877,0,0,0,0,0.896178172902585,0,0,0.906618156431613,0.906778298236765,0.882128252644754,0,0.883991270704206,-0.00947454680358376,0,0,0.907205020949246,0.906626730250205,0,0,-0.00947454680358376,0.906654888860611,0.907123873860881,0,0.868527366789279,0,0,0,0,0,0,0,0,0,0.908009291353557,0,0.883796696117969,0,0.868529897852098,0.895257143745218,0.895588885626259,0,0.90727547856578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897135225115164,0,0.894935371706669,0,0.882763958650434,0,0,0.892287782009642,0.894497154309694,0,0,0.908227230469946,0,0,0,0.894323782080393,0,0.894902911181224,0,0,0.895174086220668,0,0.868529897852098,-0.00947454680358376,0.894739268181551,0,0,0.894992583155693,0,0.896473270365329,0,0,0.907141955287208,0,0,0.892000842941318,0,0,0,0.906663672608314,0,0,0.894270720988325,0,0,0,0,0,0,0,0.906588058174752,0,0,0.883148002524408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868522333735988,0,0,0.908182719662398,0.908630358752017,0.894421295830226,0,0,0.906944565975945,0.868529897852098,0,0.892534094115024,0,0.895761438902543,0,0,0.86852484544266,0,0.886285783354517,0.884511815510845,0.907039391575905,0,0,0,0.907039391575905,0.868529897852098,0.906614065471397,0,0.871678251479954,0,0,0,0,0.907756511385707,0.89496373855401,0.919639945468494,0,0.919533288794233,0.895503481962111,0,0,0,0,0,0,0,0,0,0.871622556582937,0,0,0.895325224586318
"Glucuronidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879936829551092,0,0,0,0,0.878854922615684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879822675748089,0,0,0,0,0,0,0,0.878439557574753,0,0,0,0,0,0,0,0.879612731447185,0,0,0,0,0,0.879048938093093,0,0,0,0,0,0,0,0,0,0,0,0.906101774469243,0,0,0,0,0.879616170552016,0,0,0.879753580028668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883370556662133,0,0.878972930865235,0,0,0,0,0,0,0,0,0.906599902847096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879087299642323,0,0,0,0,0.879486659782044,0,0,0,0,0,0,0.904103286409383,0,0,0.877644258175669,0,0,0,0,0,0,0,0.878379389533417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879667103055768,0.882462058709882,0,0,0,0,0,0,0,0,0.880624283812898,0,0,0,0,0,0,0,0,0,0,0,0,0.903434341979165,0,0,0,0,0,0,0.880715190620491,0.87902963772541,0.905006894143944,0,0.904793681690636,0.880108613954466,0,0,0,0,0,0,0,0,0,0,0,0,0.879752267831015
"Collagen formation",0.883899339110205,0,0.885872200797859,0,0.867389477793852,0,0,0.884564783079772,0,0.868679822195977,0,0,0.869971010851174,0,0,0.871290701292967,0,0,0,0.884701044118431,0,0,0.869675307201082,0,0,0.886385021054344,0,0.868236073259653,0,0.884598687248795,0.868091335858756,0,0.884120277106922,0,0.885478572257296,0,0.883563504539258,0.867360995217038,0,0.867135883319279,0.884829605746251,0,0.869381267048603,0.884301219401966,0,0.884301219401966,0,0,0,0,0.883510280192215,0,0,0,0.868251065270687,0,0.884063863261803,0,0.884430164106337,0.868949411641533,0.88525863570458,0.868452247748865,0.899673723278098,0.884495478221666,0.883327342495707,0.871698124757832,0.8684513283883,0.868119331836988,0,0.868279180749755,0.884962732326508,0.868656990190506,0,0,0,0.86869229396771,0.899357353848083,0.868040397671854,0.867275061665867,0.884034727992002,0,0.88614006521437,0,0.869762844872594,0,0.898525506378558,0.868942200644283,0.871045745452992,0.869529445957235,0,0,0,0.867278148032862,0,0,0,0.868634637834575,0.869670627100618,0,0,0,0.88414733612685,0.867407185318262,0,0.885089681741299,0.884588816312175,0,0.884438159889991,0,0.898988091144964,0,0.869258669927331,0,0.868952514019193,0.88441828162609,0.885309112474324,0.867496123198804,0.883379803191163,0.883891354441073,0.870288418567828,0,0,0.885086059908611,0,0,0,0,0,0.869057891489208,0,0.883163273748836,0,0.867278148032862,0.867844843945548,0.869891954052913,0,0,0,0,0,0.885309112474324,0.868197645115599,0.884885830332441,0.868895102271153,0.867374514760186,0.883849416607085,0,0,0.884367070957203,0.883620993015827,0.868654163104321,0,0.883709026109641,0.900027924235035,0.795059470510679,0.885698500320431,0,0.886011565637233,0,0.867496123198804,0,0,0.884039509122576,0.869555959520478,0.914057822355896,0.868389007354279,0.884139562838537,0,0.867499896558263,0,0,0,0.869512173110288,0,0,0.885363421844704,0,0.885848562251878,0.867268924382567,0.868207787962483,0.88517325419731,0.885089681741299,0.886455827205595,0,0,0,0,0.867278148032862,0.8848432663176,0.883680155101454,0.88499589826523,0.868740035243245,0.88670078304557,0,0.867271987146762,0,0,0,0,0,0,0.869410734633614,0.868402182296255,0.867278148032862,0,0,0.867969863654034,0.869673271802392,0.884087974961861,0.868629604828317,0,0.885390261526769,0,0.884172181393998,0,0.899171870464226,0.86864187230575,0.885105512737126,0,0,0,0,0,0,0,0,0.883749851904371,0,0.869798503599983,0.868732045372587
"Collagen biosynthesis and modifying enzymes",0.923244371250284,0,0.925701530821972,0,0,0,0,0,0,0.904288768890373,0,0,0,0,0,0.907559975022298,0,0,0,0.905927746815944,0,0,0.905528625452073,0,0,0.927038600928932,0,0,0,0.924115395297956,0.90402678117317,0,0.923519545083696,0,0.905446138467362,0,0.922826096043425,0.902646196400379,0,0.902365824057127,0,0,0,0.923912568359786,0,0.923912568359786,0,0,0,0,0.922759806189148,0,0,0,0.90375476075919,0,0.923449282773683,0,0.923905503111833,0,0.904469218836163,0,0.942891049620181,0.92398685052947,0.923113518318301,0.908067412757385,0,0.903590689415746,0,0.903789778023166,0.924568806123878,0.904260332086547,0,0,0,0.90432371093427,0.94191508120646,0.90396333868539,0,0.92341299538085,0,0.926733513354572,0,0.905637651862178,0,0.923654388705085,0,0.907254887447938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923553246549051,0,0,0.924610113633825,0.924103101244831,0,0.923915461699635,0,0.942037108581573,0,0.905009712103242,0,0.904628401074286,0.924078985861795,0.925000215634731,0,0.903817036587365,0.923234426505395,0.906311652036949,0,0,0,0,0,0,0,0,0,0,0.922532648165599,0,0,0.903248820264966,0.905798454750795,0,0,0,0,0,0.925000215634731,0,0.924473026236222,0,0.902663034719588,0.921130021711008,0,0,0.924084781145654,0.923003939387597,0,0,0.923195622374166,0.923912568359786,0.812596100850518,0.905720054448799,0,0.925875106927772,0,0,0,0,0.923418950182865,0,0.942914747025734,0,0.905766640423997,0,0,0,0,0,0.905344853924385,0,0,0.925067856863761,0,0.906906422399605,0.901504860350305,0,0.923491066423735,0.924610113633825,0.926428425780211,0,0,0,0,0,0.924420013611399,0.904305612198816,0.924610113633825,0.904363763030285,0.926733513354572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903753842463252,0,0.9237371726941,0,0,0.925101285148218,0,0.924128049128178,0,0.942266002029213,0,0.924746636255,0,0,0,0,0,0,0,0,0.923058187940548,0,0.905701472793221,0
"Aspirin ADME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913835741837288,0,0,0,0,0.912900693859164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913737083367507,0,0,0,0,0,0,0,0.912748019330226,0.913446982295133,0,0,0,-0.0163691815716366,0,0.91353565372198,0.913761945594588,0.914163138814196,0,0,-0.0163691815716366,0,0.934635560178055,0,0,0,0,0,0,0,0,0.934429653990823,0,0,0,0,0,0,0,0.913558609360416,0,0,0.913883675271168,0,0,0,0,0,0,0,0,0,0,0,0,0.913413499590681,0.916803371942552,0,0.913002683569676,0,0.913204729178407,0,0,0,0.933604841977267,0,0,0.9369428743378,0,0,0,0,0,0,0,0,0.934774377744212,0,0,-0.0163691815716366,0,0,0,0.91310152783278,0,0,0,0,0.913424362590318,0,0,0.911817880652945,0,0,0.913808936755296,0.934438085029927,0,0,0.911854366028391,0.914983288030935,0.91353565372198,0,0,0,0,0,0.912467394136441,0,0,0,0.913101527832781,0,0,0,0,0.912773003304127,0,0,0,0,0,0,0,0,0,0,0.914503790108123,0.913808936755296,0.915995878365415,0.914453846439991,0,0,0,0,0,0,0,0.914429880479456,0,0,0,0,0,0,0,0,0,0,0,0,0.934101829528746,0,0,0,0.913413499590681,0,0,0.914486131619574,0.913051692992963,0.933709289544834,0,0.933525018729247,0.913984208081279,0,0,0,0,0,0,0,0,0,0,0,0,0.913676232680309
"Metabolism",0.907911522829383,0.906422241263936,0.908314764024003,0.90450972545061,0.906396928510537,0,0.908215933447296,0.906681138056256,0.904513614443085,0.906328442920821,0.906342914244388,0.904536409558484,0.906110799413915,0.908529797335848,0.904536409558484,0.906440224548783,0.904513614443085,0.906620880568134,0.904302248639589,0.906377989977464,0.904536409558484,0.904513614443085,0.906472692518191,0.904524666516904,0.906568573358541,0.906544947040763,0.908111100637208,0.906651592050204,0,0.908135095225957,0.906313112906296,0.908529797335848,0.906026860250934,0.910569439325174,0.908260796351419,0.904353260605713,0.908048735809671,0.90649667343234,0,0.908159226419412,0.906345139877491,0.90425229045444,0.904583610610934,0.906568783412311,0.907131765406992,0.906419855631894,0,0.906526435600131,0.904472593829341,0.906636642157639,0.907861370858579,0.906136570730225,0.904494000537959,0.906423776460794,0.908226695887849,0.906190997747458,0.908677369857189,0.906495025992094,0.906025591683027,0.9059791092987,0.90434891662761,0.904283149999429,0.906711833705687,0.908621361879033,0.906115772160739,0.906492743817126,0.906311329289046,0.906285866089459,0.908226096119873,0.906510589469081,0.906383309124467,0.906451114868207,0.906323106661034,0.90647463269836,0.908165789628054,0.908118199457694,0.906133040035012,0.906306546675979,0.905945101400882,0.906164760249912,0.906268742416108,0.906513370799822,0.904853933881555,0.906489696949519,0.906499774034652,0.906319265285101,0.904640184866826,0.90658146693329,0.906310664074776,0.908148072285973,0.906388320451786,0.904196922010728,0.90654121037331,0.906060860784378,0.908324199121304,0.908437937494357,0.906343751022419,0.906690144702514,0.906530806352553,0.904430575749836,0.906448877722307,0.906252312685961,0.908042474309424,0.906324085033919,0.906337565066954,0.906246093300248,0.904453331740082,0.905991946009726,0,0.906375437423347,0.906409155921542,0.906791158822643,0.906495204552802,0.906412040896548,0.908172125102621,0.905972108503109,0.908053938922577,0.906041804656909,0.906704819713142,0.906454186034438,0.904636422778062,0.908547035001048,0.908831533656146,0.906296822986641,0.90467631146931,0.908278835541221,0,0.908257399776762,0.906283193347068,0.908815999636241,0.906323836526614,0.904575837242655,0.906243354812477,0.906101555213883,0.908284215473208,0.906389928221298,0.904457812507373,0.908415139301604,0.906430065606614,0.908571966555534,0.906340483071858,0.906262230464326,0.908302882479621,0.906206134669023,0.906051632839304,0.910089571362538,0.906446693574883,0,0.906858197871308,0.908724588179173,0.90638131756945,0,0.906153984152547,0.908249179440217,0.906510589469081,0.908279021984967,0.906226663782741,0.904473742347355,0.904450843608895,0.908053938922577,0.908174622286391,0.906414438357766,0.90807851934449,0.906397485356957,0.908318954645622,0.906620648370398,0.9062964534373,0.906272681292477,0.908054425330688,0.910120719877524,0.906215435020179,0.906480311774761,0.906349465120091,0.904358499327705,0,0.906413951895791,0.906453018703678,0.904431145952791,0.906242165829989,0.906470837238038,0.909099848373423,0.906142925622947,0.906498858562542,0.906366350746746,0.906359287537828,0.904458955441029,0.90645788590975,0.906243354812477,0.906224004977104,0.906193310912457,0.906493934147491,0.906372548648593,0.904480466845621,0.908265021668844,0.906242560638213,0.906438034190005,0.904611516030362,0.906631184153052,0.906208890803673,0,0.904462161328965,0.906187504311868,0.906349528182531,0.906690138153725,0.908256758022206,0.906771730149641,0.908215895647951,0.906531343999844,0.90638114329108,0.906579583256317,0.908466947409912,0.908397637984138,0.90841244197131,0.908338444403743,0.908315967100634,0.908363071249043,0.908249179440217,0.906497354610935,0.907962172856792,0.907962172856792,0.908706811758871,0.908111100637208,0.907962172856792,0.908342489250056,0.908342489250056,0.906525641125685,0.908753673014424,0.904490988749482,0.906247871535725,0.906572703153296
"Transport of small molecules",0.911402666012585,0.907516020174,0.903291871323019,0,0.907460970280955,0,0.907321625190952,0.907464572968796,0,0.902978116657313,0.903279454096251,0,0.907206861971994,0.90342099631633,0,0.903460525975623,0,0.899052758185203,0,0.907509761081424,0,0,0,0,0.907782879325356,0.903663102632586,0.911512819125828,0.907350387029079,0,0.906724678789729,0.903074216931287,0.907912249068612,0.911464604434002,0.907888451359301,0,0,0.91137718879626,0.911505906959646,0,0.911451580927493,0.907578393295974,0.902944117062392,0.907710490984099,0.903694762316682,0.90762005732745,0.903694762316682,0,0.903621180283639,0.903454936904022,0.903418631960613,0.911293596067276,0.908071722761107,0.903093368268378,0.907519358902961,0.906767753642703,0.903025234824592,0.911448789207266,0.907782879325356,0.90733387470138,0.90685123320918,0.902809740270925,0.907245868052955,0.907381059594926,0.911638461096854,0.907130952764135,0.903574744293147,0.907738099143531,0.90697665222531,0.907844617434123,0.90299260255806,0.907483176475382,0.907808484963434,0.902891841650305,0.907660408210702,0.903305991234823,0.911528257561243,0.907603513173975,0.903059936767017,0.906726933205734,0.911431838825029,0.907227904456719,0.90359443097687,0,0.912188031217412,0.903055978260921,0.907336906864338,0.903453256412136,0.903391854319908,0.907734201568825,0.903576202900654,0.907360716953812,0.903003549295501,0.906727798447125,0.90318791519354,0.907233193696617,0,0.907443027803547,0,0,0.903343710466903,0.903301862385876,0.907229930461714,0.911363571355539,0.903297828633284,0.907492474314232,0.902737968862842,0.903230757336556,0.907311460868739,0.911866627276029,0.907512733895501,0.90382993550417,0.911878012595249,0.903272949766109,0.907493836529065,0.911590528030161,0.907387892125721,0.911388504468027,0.911686516210168,0.907399571590365,0.907974863948275,0.903830561322659,0.903643129435617,0.903338586255036,0.907275991867924,0.899594457819438,0.907763358408243,0,0.907171429992076,0.907580778019254,0,0.907630980113294,0.903439872685776,0.906727798447125,0.90689970146561,0.903301288790439,0.912007243807143,0.903454936904022,0.90676441651687,0,0.90803909848858,0.902527273012657,0.902842655744178,0.906609160724131,0.906905238530006,0.911509697068967,0.911917383901958,0.912462343126882,0,0.907590976504886,0.907266097582595,0.907440241083,0,0.907390837232875,0.903293515372545,0.90299260255806,0,0.903230461084409,0.899058889951216,0,0.911388504468027,0.911489872728648,0,0.911441961694746,0,0.90745100604952,0.907393261032387,0.911901293694696,0.902850942780156,0.911389562302948,0.911812090872342,0.907504893538098,0.902827315718018,0.903558931472788,0,0,0.902972492127415,0.907939551734884,0.903052408502391,0.906746641080211,0.907739952372873,0.903198640201386,0.907467818919593,0.903841179639907,0.907758115539828,0.903053734382345,0.90754836643475,0.911783735301456,0.906727798447125,0.907257295415334,0.907497556653805,0.907492474314232,0.907602095265152,0.903909851295623,0,0.906726071285816,0.907531272437771,0,0.907946512861861,0.907574632986083,0,0.903151738407137,0.907049792454804,0.907140238140603,0.906727798447125,0.903383410162719,0,0.907296983582937,0.907588074822441,0.907512733895501,0.903427423528084,0.912286710708047,0.907626562425798,0.906754556017518,0.907478299461597,0.911958360419683,0.907441838980046,0.90749799254885,0.907675175078563,0.911512819125828,0.911512819125828,0.911512819125828,0.911512819125828,0.911512819125828,0,0,0.90304207325903,0.907143153935886,0.902827315718018,0.903639202222043,0.91169188512074
