"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Interaction between L1 and Ankyrins",0.894965859520088,0,0.898071438017725,0,0.896249261936682,0,0,0,0,0,0,0,0,0,0,0.871595207147533,0,0,0.864236646653762,0.864950096429343,0,0,0,0,0,0,0.865803131481163,0,0,0.863006690876173,0,0,0.894518412525602,0,0,0,0.864821947985865,0.894880740138064,0,0,0.896852506232751,0,0,0,0,0,0,0,0,0,0.864217217419572,0,0.898878919882449,0,0,0,0.865339923144959,0.867607927012012,0,0,0.896827084494353,0,0.8964391057475,0.895889961334982,0.872421490828862,0.864717833664689,0.893536103849993,0,0,0.896691660078801,0,0,0.870091549306551,0,0.86632545281216,0.895994193820606,0,0,0.894344912853377,0,0,0.872192484210584,0,0,0.86175922529572,0,0.87109841933173,0,0,0,0,0,0,0,0,0.89706418554966,0,0,0,0,0.896605990585794,0.864723436037051,0,0.897189759254751,0.897501343711526,0,0.897195801802742,0,0.896192896482549,0,0,0,0.898509788989749,0.896092346036249,0,0.864903808366289,0.865500412190135,0.86540069887637,0.869562506698789,0,0,0,0,0,0,0,0,0,0,0.896192896482549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92442013454683,0,0,0.897830146966883,0,0.865129196853873,0,0.894886479533079,0,0,0,0,0,0,0.864903808366289,0.865637131543974,0,0.865290531223404,0,0.896817565923453,0,0,0,0.864911461006881,0.897348836266903,0,0,0.86798822585936,0,0,0.897039598217985,0,0.901425927331486,0,0,0,0.896294234333941,0,0,0,0,0,0,0.895984685919447,0.895658514333686,0.897830146966883,0,0,0,0,0.898206322679634,0,0,0,0,0,0,0,0,0,0,0,0,0.897264120494764,0.865228080208761,0.901128704463101,0,0,0,0.898753336913325,0,0.864557626871862,0.896516540256834,0.865803131481163,0.865803131481163,0.865803131481163,0.865803131481163,0.865803131481163,0,0,0,0,0,0.868568924399097,0.896736894858235
"Neuronal System",0.915453770158867,0.902920747106603,0.903513618703505,0.897015833864179,0.903318248125777,0,0.909691905377799,0.902918410327357,0.896416305270129,0,0.896232718263121,0.896489606080088,0.903284497774083,0.903440499546392,0.896489606080088,0.903619025080524,0.896416305270129,0.903703214410986,0.903138676840114,0.902936488023723,0.896489606080088,0.896416305270129,0,0.897454489278784,0.896538746490389,0.896626150703432,0.908875903506626,0.903007033486606,0,0.903806786453382,0.896159347435198,0.896764252351058,0.908804613397049,0.896866723811232,0.897156492967083,0,0.908675360877589,0.908878668996561,0,0.908785356876453,0.902950560167765,0.896644657409156,0.90388531487494,0.897636187413169,0.897295853690468,0.897636187413169,0,0,0,0.903672925153978,0.908551760900414,0.89768691488637,0.903678658715722,0.902925683741983,0.903080236680065,0.896766335400168,0.908781229046671,0.903251916416771,0.902784985861606,0.902861030204838,0.90325928714552,0.903398685290581,0.910044588784369,0.90293686205478,0.903787907967954,0.903189494572951,0.902397239024335,0.909542603738284,0.903070426868957,0.903497584589673,0.903084762401687,0.903053990933599,0.909415877557402,0.902958316055549,0.909881642142338,0.903254028614197,0.896138232823924,0.902608680355754,0.908769152058195,0.903117108036504,0.896524612983799,0.903606442230682,0.903517487360891,0,0.903237895937803,0.903440499546393,0.903517487360891,0.903364735826827,0.903143427069948,0.903441478619181,0,0.902609959699275,0.902677516154269,0.909082253177287,0,0.90916061933677,0,0,0,0.903704310677917,0.909905557112714,0.908655226167515,0,0.90911595145548,0.903083175090901,0.896322739598812,0.90893638038373,0,0.902856270142418,0,0.903404443482553,0.896227876863403,0.902726544098401,0.909304726565891,0.903280210492744,0.908692092198471,0.902772527529099,0.903556639432231,0.90956034734319,0.898040686936098,0,0.903187751995394,0.903595302189359,0.904229036291962,0.896739348798822,0,0.908837060284385,0.903013809676812,0.897058064776813,0.904017600799897,0.896919085120927,0.902609959699275,0.902283459844518,0.896997611699185,0,0,0.903865542546493,0,0,0.902994519961824,0,0.902914040437724,0.902838518189515,0.90888427304169,0.908898989430754,0,0,0.903551858974659,0.902650612887405,0.902745292462161,0,0.902501195545629,0.89721218374667,0.903070426868957,0.897247656313164,0.897022725583541,0.903672925153979,0,0.908692092198471,0.908841975027413,0.897138897938161,0.908771133905599,0,0.902943418770136,0.902851480993159,0.903254689410096,0.903739669809101,0.908693656310251,0.902916500682738,0.902890177969382,0,0.903221390167058,0.897290074232037,0,0.903302722508067,0.903680538243088,0.897217908742587,0.902606136363535,0.909348511378839,0.897071901581795,0.903209996579051,0.903638132089466,0.903214162783841,0,0.90351748736089,0.90984355575596,0.902609959699275,0.909104302825884,0.915664614895753,0.903161010548287,0.89699252497368,0.897547117288271,0,0.902607405923355,0.895358986934179,0,0.903571387434345,0.896113950345689,0,0,0.903052255221704,0.902634195768714,0.902609959699275,0.896690372635896,0,0.902454993472126,0.903178803652657,0.903436169669481,0.910289643307124,0.902439382096126,0.903196439786238,0.903850962839505,0.903091478120579,0.910013577266023,0.903037567753705,0.897278452361994,0.909213007739486,0.908875903506626,0.908875903506626,0.908875903506626,0.908875903506626,0.908875903506626,0,0,0.897095076154312,0.902502986666838,0,0.90316165902468,0.902986548413526
"Cardiac conduction",0.889506674908238,0.873758737220956,0,0,0.888358534610156,0,0.890465538645033,0.874040354550769,0,0,0.874619735077377,0,0.860275607910107,0,0,0.876667433158822,0,0,0.875666056978955,0.875156598575234,0,0,0,0,0.875615717651443,0.860834952527127,0.889898635271124,0.873925315341736,0,0.889644965705996,0,0,0.87422832025239,0.875991377054229,0,0,0.889416018741906,0.874406539001079,0,0.889530905926857,0.888589297996898,0,0.87662610415,0,0,0,0,0,0,0.892301258026409,0.88869781056336,0.877526890620279,0.875541617265013,0.873770617497206,0.875368031801266,0.874915109156694,0.88899706476249,0.875325088093515,0.873529532266725,0.87538994966743,0.874532377221458,0.890213130573048,0.889489355499557,0.888340271117775,0.877073858831842,0.875042355062292,0.889299194013711,0.875007655297518,0,0.890567463843809,0.873977585745476,0.890879702499756,0.875992266068918,0.873268806793379,0.888835321509934,0.889367088501193,0,0.873151995606092,0.874142980649726,0.888536887947657,0.860590596591086,0.876839951007206,0,0,0.888978718576932,0.875532025157927,0.876423077222782,0.875459876468229,0,0.87431228359971,0,0.873155074414486,0,0.904631564831635,0,0.889653341039219,0,0,0,0,0.888392817639348,0.888946805245153,0,0.889253046210148,0,0.875080732157475,0.888824958541639,0,0.873101610208074,0,0.873977585745476,0.85926847656604,0.874360224068602,0.889175320551546,0.890353651079609,0.889035525314255,0.888486157133095,0.892711831958497,0.875667605053056,0,0.875608807423758,0.875191737824074,0.875215520532188,0,0.875546255921946,0,0.903865092754396,0.875230107329716,0,0.889322307971241,0,0.873155074414486,0.889025378351054,0,0,0,0.874064206484367,0,0.876527428208133,0.890668639760588,0,0.890246394248908,0.859202334261306,0.874420025434476,0.888777962365268,0,0,0.890600548558189,0.889841009049717,0.875244693030229,0,0.889237131588081,0.891427365260526,0,0,0,0,0,0.889035525314255,0.889816984576916,0.876518978216494,0.888972770267254,0,0.889681730215836,0.874077874896343,0.876269164186535,0,0.889039289432648,0.905655100396413,0.890485477867263,0,0.874893260643085,0,0,0,0.875684726821423,0,0.873145873353177,0.890156698084954,0.891089768751253,0.889600720452421,0.876455350767793,0.891244206460528,0,0,0.874367212918042,0.873155074414486,0.8739528607827,0.888729123602557,0.875101796989165,0.890721608670394,0,0,0.873148928616574,0.905203510137797,0,0.877192279627666,0.872939751561259,0,0.858889887122866,0.859716703825203,0.874874709900427,0.873155074414486,0.873544288349727,0,0.88969037491357,0.876190507899163,0.890322136077008,0.876153715223878,0.890724447808284,0.889692552991019,0.874029119642147,0.875335324035141,0.890365766428918,0.875205585862891,0.889982191020428,0.874214464953162,0.889898635271124,0.889898635271124,0.889898635271124,0.889898635271124,0.889898635271124,0,0,0,0.889057905698829,0.859487450179087,0.875178889901132,0.890197141633002
"L1CAM interactions",0.868798117638902,0.850928186082861,0.870793397233152,0.85133010470231,0.869565237178504,0,0,0.869621626413235,0.833703911760533,0,0,0.833918276078224,0.871148448548962,0.854156278659226,0.833918276078224,0.854267291258024,0.833703911760533,0,0.852820902126742,0.856076432028133,0.833918276078224,0.833703911760533,0.870936392349871,0.85404059417365,0.849718626262704,0.852092271618738,0.868734250344057,0.86904531337262,0,0.869784888056769,0.870135725104251,0.850594367956244,0.887184680411924,0,0.870749484185962,0,0.868147774098223,0.887401252071493,0,0.887128365742265,0.869703886496434,0.85050578863611,0.871160967047816,0.869972525791904,0.854200965367512,0.869972525791904,0,0,0,0,0.867786312542908,0,0.871132143100159,0.850942623010303,0.852290197027854,0.849254241326283,0.868457379924449,0.853240895485133,0.868778721573096,0.869910040179451,0.869905713261861,0.870083625731372,0.889322524067904,0.86919253611392,0.854761180274443,0.851636036251506,0.867708867433275,0.870235816279972,0.851433238757722,0.869178432856535,0.851376064184256,0.849910740887019,0.851969497997032,0.850925611933138,0.851646773398758,0.870192075519017,0.870073976547291,0.869065003977298,0.88708097561368,0.84917727271366,0.851795329961459,0.855324943322498,0.871653920700057,0.852677641064285,0.868975263662666,0.851175577282259,0.853970349600746,0.871415050902904,0.870413113556371,0.851842188612313,0,0.869068745349338,0.849720092357432,0,0,0.889397133829912,0,0,0,0,0.869406159169575,0.868088891210173,0,0.870127394347842,0.887752655472744,0.83427627245027,0.869758703082027,0,0.868562637293483,0,0.870249783115936,0.870336135769932,0.870544103851814,0.868947572288799,0.871325799781683,0.868196703955711,0.868244268743482,0.851308390733665,0.853052298818999,0,0,0.870544103851814,0.871415050902904,0,0.869718017368586,0,0.850426850358765,0.852001083001996,0,0.869317730082036,0.851047168151597,0.869068745349338,0.864957380619206,0,0,0,0.851439016609023,0,0,0.849654257166698,0,0.851422521845373,0.869844204988716,0.887417640803228,0.886542627318097,0.855801823390649,0,0.868608365729625,0.851954103786914,0.86913867047767,0,0.868889673307749,0.853572164779629,0.851433238757722,0.871016086539905,0.85050578863611,0,0,0.868196703955711,0.86895328250045,0.849741104584035,0.868427857221645,0,0.869403633093959,0.869230703945538,0.870350452426745,0,0.86820127811737,0.870500484260724,0.8526294565235,0,0.852111314465898,0.852132106063167,0,0.870176642533392,0,0.871316858893797,0.869057564207443,0.870141753818072,0.873262955262185,0.869813685194381,0.853815401169573,0.852009122490929,0,0.871082466135959,0.871264610566258,0.869068745349338,0.888061106197222,0.869212133566284,0.869905470488813,0.871093226013792,0.853254717707079,0,0.869061276967571,0.870874020939643,0,0,0.849146648922299,0,0.850946846423769,0.870469267564368,0.869246674943027,0.869068745349338,0,0,0.868722607363717,0.87078752175256,0.869670549170103,0.852868682084606,0.871957921114484,0.852988766816482,0.851396379031862,0.85110958623116,0.870538108561846,0.849552967731689,0.850464469470734,0.870782049379648,0.868734250344057,0.868734250344057,0.868734250344057,0.868734250344057,0.868734250344057,0,0,0.834423866293107,0.867954029935862,0,0.852610876369806,0.8700874949739
"Phase 0 - rapid depolarisation",0.822895349431344,0.776947032727054,0,0,0.819631787384409,0,0.777946818107888,0.779721645439226,0,0,0,0,0,0,0,0.790828288120785,0,0,0,0.78094759270167,0,0,0,0,0,0,0.780746002456773,0,0,0.77818519666362,0,0,0.779898768621924,0,0,0,0.780255916643589,0.780419818562574,0,0.778152951785409,0.820220156828064,0,0,0,0,0,0,0,0,0,0.821760661512062,0,0,0.776981766543111,0.778290016361338,0,0.823375183098215,0,0,0,0,0,0.869562173588457,0.822588936004062,0.792016536127031,0.780613584208871,0,0.781461541537451,0,0.778986294256192,0,0,0.784195882874335,0,0.823426933980779,0.784041861366943,0,0,0.779649265159296,0.823633386221602,0,0,0,0,0.777818506381724,0.782045210096412,0.790113875934034,0.782360432260251,0,0.778565410759209,0,0,0,0.777026838291071,0,0.82540724208698,0,0,0,0,0.823618631190977,0.78011425025296,0,0.825395598198845,0,0,0.824466816890921,0,0,0,0,0,0,0.869063511270841,0,0.78037363702949,0.823015456222521,0.781920194848212,0.78790513677447,0,0,0,0,0,0,0,0.820693178805472,0.779891456565465,0,0.780028201232147,0,0,0,0,0,0,0.776981766543111,0,0,0,0,0.777405813864369,0,0.780459248226245,0.82335649669448,0,0,0,0.821512410018986,0.781205150399074,0,0.817392886534701,0,0,0,0,0,0,0.78037363702949,0.78050728408576,0,0.823304154402334,0,0.826131661045026,0,0,0,0.780384642008931,0.825683727812587,0,0,0.785641221716007,0,0,0,0,0,0,0,0,0.778095781108803,0,0,0,0,0.779589109673411,0,0.778377687434639,0.818763758848512,0.779083022510602,0.779716094251078,0,0,0,0.781914063208283,0,0,0,0,0,0,0,0,0,0,0.77594186092018,0,0.778269040772641,0,0.831119416486457,0.782706753161176,0.77687918475982,0.779698204560701,0.872890183848036,0.779318895046703,0.778798706545291,0.779142527489324,0.780746002456773,0.780746002456773,0.780746002456773,0.780746002456773,0.780746002456773,0,0,0,0.822459370923453,0,0.786476302811839,0.826531390264283
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0,0,0.807368671208167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654606953556141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654381285420341,0.723154166317054,0.570226994993067,0,0,0,0,0,0,0,0,0.722408586419952,0,0.733577705991769,0,0,0,0,0,0,0,0,0,0,0,0,0.728411492832569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729799907193519,0,0,0,0,0,0,0,0.725862278080094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728859712191593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655832347740078,0,0,0,0,0,0,0,0,0,0,0,0,0.654910086027476,0,0,0,0,0,0,0,0,0,0,0,0
"Biological oxidations",0.864534144024954,0.865269533163305,0,0,0.865115430434389,0,0.865480715469814,0.866047548021796,0,0.867142409837548,0,0,0,0.866264875187204,0,0.855534513315784,0,0,0,0.853752560347457,0,0,0,0,0.877668857160888,0,0.865154918691413,0,0,0.877150948006366,0,0,0.864665264424916,0.865657482718066,0,0,0.864339460964779,0.864847734478562,0,0.864671072935348,0.865007562700715,0,0,0.865825186027253,0,0.865825186027253,0,0.878652107133603,0,0.879490229049004,0.864228821429668,0.878444317992271,0,0.865278879362099,0.877673631798813,0.866149567109967,0.864663257993637,0,0,0.866350443138182,0,0.865857018427802,0.877569167722282,0.864713737262433,0.855854247895615,0.866496548149501,0.866792966251583,0,0,0.866024331384384,0.877381504602689,0.865798760882768,0,0.889161733745186,0.877709774207474,0.877459829802352,0,0.864453799616106,0.864598127863887,0.86532392720469,0,0,0.866732639145728,0.867323401401867,0.87739411642925,0.854047907980845,0.855342278799793,0.866376979444249,0,0.866310350442544,0,0.864456221710904,0.87746190718865,0.866070001055204,0,0.866091755639987,0,0.879105760017023,0,0.865826648356031,0.864373396907218,0.864737125169685,0,0.865505740334313,0,0,0.864601627290913,0,0.86495570358048,0.879259132876374,0,0.877207438588644,0,0.86634890865063,0.853260909521462,0.864806921139526,0.866046044709232,0.876888930335791,0.854747949767952,0,0.878874661264144,0,0.852779527000977,0,0.866419068941707,0,0.865413559373035,0.853751327801686,0,0.877536718785595,0,0.864456221710904,0.866101741402143,0.879152888913409,0,0,0.877262186954429,0,0.878304712623037,0.865632718084033,0,0.877778393028653,0,0.864858344239219,0.864376544215802,0.867654457264858,0,0,0.877598252467758,0.865773482183614,0,0.876571402598145,0.855157858953436,0,0,0,0,0,0.864806921139526,0.865433930263094,0,0.864644145543952,0.854956210082451,0,0.865327993145331,0,0.865893591414173,0.864809882366862,0,0.865488624846595,0,0.864895758956445,0,0,0,0,0,0.864448983247227,0.865565382931427,0.854892272192534,0.877960048474646,0.867388305147085,0.866613572906494,0,0,0.87761540674177,0.864456221710904,0.865232646206854,0.865353316640086,0.877523014517312,0.877944491290405,0.86684368639268,0,0.864451386819204,0,0.880031467465616,0.866994682316142,0.877819020398265,0,0.865394693087361,0,0.877819020398265,0.864456221710904,0.889031775721037,0,0.866052823121813,0,0.853031813776806,0,0,0.867375995167023,0.877234584178572,0.877235598169271,0.855202425337121,0.877133533307856,0.877810510498694,0,0.865154918691413,0.865154918691413,0.865154918691413,0.865154918691413,0.865154918691413,0,0,0,0.865999526017014,0.865857018427802,0.865753838501657,0.877527056994417
"Assembly of active LPL and LIPC lipase complexes",0.25247713893344,0,0,0,0.255271459375921,0,0,0.631727153109515,0,0,0,0,0,0.568716475676071,0,0,0,0,0,0,0,0,0,0,0.63123338840193,0,0,0,0,0.688789849024089,0,0,0.62880491632594,0,0,0,0,0.629593803304248,0,0.628599783716857,0.256584888310227,0,0.573693936406249,0,0,0,0,0,0,0,0.558467381455896,0.575436276371326,0,0,0.758887147229611,0,0.560911820954197,0,0,0,0.63123338840193,0,0.256191135683087,0.252013218790855,0,0,0,0,0.564175681528835,0.631008420946622,0.259964299526492,0,0,0.631817915701864,0.559718713717331,0.253791664761892,0,0,0.62842715976682,0,0,0,0.636820586962158,0,0.628201341016317,0,0,0,0.63108081762845,0,0,0,0.629588847649082,0,0,0.257552106526505,0,0,0,0,0.253572211626684,0,0,0.257319181000875,0,0,0.254856393048982,0,0.56902443154036,0.639701277915749,0,0.628637129530578,0,0.2554361443123,0.566410429071994,0,0.252658984618803,0.252441881278933,0,0,0,0.637636911355245,0,0,0,0,0,0,0,0.25608678551714,0,0,0,0,0,0,0.689415756005559,0,0,0,0,0.757548435176069,0,0.629653501129355,0.251113976311046,0,0,0.570256827024094,0.562746913894969,0,0,0.252304306844646,0.568687290816226,0.564175681528835,0,0,0,0,0,0.253850727619608,0,0.560804281141033,0,0.568052159280963,0,0,0,0,0.258171869515787,0,0,0,0,0,0,0,0,0,0.257803202206377,0.567192916671833,0.257319181000875,0.63868307731009,0.636350727676721,0,0,0,0,0,0.253985239183364,0.566946576327883,0.258468508628391,0,0,0,0,0,0.264847387562923,0,0,0,0,0,0,0.633037337419081,0,0,0.571765765478042,0.56902443154036,0,0.266401683355893,0.260142202421889,0.689260443766296,0,0.261229854148689,0,0.256466099167799,0,0,0,0,0,0,0,0,0,0,0,0,0.256119735606765
"Drug ADME",0.699885346444912,0.660171856113222,0.747478781381802,0,0.700772106316175,0,0.768407720808078,0.723747097902014,0.702972120217359,0,0,0.703219916896945,0,0.748618311548744,0.703219916896945,0.74940403675209,0.702972120217359,0,0,0.722315941567189,0.703219916896945,0.702972120217359,0,0.704725135402442,0.74669667240119,0.707538589112776,0.703377840363088,0.700937352866502,0,0.767697514109233,0,0,0.723821415630898,0.725486233578586,0,0,0.70269989700041,0.70406301161162,0,0.703747565799484,0.746095479372375,0,0.706837636794769,0.747412282079319,0,0.747412282079319,0,0,0,0.748983113659664,0.702282061727404,0.749631700115909,0.703207812112364,0.660188544630798,0.747285603434959,0.725212993654035,0.700115891587721,0.703368494014581,0,0,0.703691756516432,0.702261349376674,0.745552877857663,0.702409437122038,0.749974952936607,0.704828637839296,0.754471068882925,0,0.725500405393059,0.746625280405959,0.724307798176469,0.705099222559233,0,0.777714530231767,0.745685258581857,0.746143369914495,0,0.699590702219902,0.723701536982536,0,0.707195336292078,0,0.662592298447524,0,0.745005423492083,0.70284517672873,0.749060783931393,0,0.701398437499643,0,0,0.699595027098121,0.746814405372113,0.767965699139126,0,0.746154623259772,0,0.748639860838967,0,0,0.703429657624728,0.702631830708872,0,0.705039657685337,0.700851500158199,0,0.703837184455009,0,0.725379593247302,0.749383903436322,0.746669320725989,0.745872766113448,0.704745076705892,0.745730932749794,0.705235611024605,0.70275645798196,0.745192871554089,0.744780722365319,0.747999553509004,0,0.74802869766344,0.74590768320068,0,0,0.746942350614262,0,0.767136813554465,0.701724151898976,0,0.745689612930295,0,0.699595027098121,0.775693589244169,0.76756575910135,0,0,0.767896141720395,0,0,0.704802737514763,0,0.74651751883398,0.747110657536726,0.704081956337823,0.723801503782554,0.72904508082025,0,0.725770686138399,0.765946200063648,0.722439690024684,0,0.745080316811773,0.726932135988467,0.725500405393059,0,0,0,0,0.70275645798196,0.744980014137255,0,0.700081764510015,0,0.725071048811787,0.746401474576336,0.701503494237259,0,0.702761745532068,0.724746133454292,0.704545445477799,0,0.746911812784464,0,0,0,0,0.662687754588634,0.699582102139968,0.725390095001881,0.726457905830839,0.746250832229251,0.725430508206518,0.748320627566652,0,0,0.703341464728257,0.699595027098121,0.724834529202409,0.724178488649473,0.70425393248199,0.747284283834992,0,0,0.699586393943948,0,0,0,0.745999013325835,0,0.705039657685337,0,0.745999013325835,0.699595027098121,0.747269144181411,0,0,0.702951276901744,0.725379593247302,0.702509877102321,0,0.723937347541585,0.767846854366232,0.745229181849466,0.702662965110072,0.745046935433445,0.748427736186247,0,0.703377840363088,0.703377840363088,0.703377840363088,0.703377840363088,0.703377840363088,0,0,0,0,0.705879069274499,0.747313043260331,0.746538915612143
"Protein-protein interactions at synapses",0.85719340854303,0,0.839520509232868,0,0.836043986617196,0,0,0.814960913780319,0,0,0,0,0.81684008273776,0,0,0,0,0.816415530055388,0.837858357847699,0.817298954920669,0,0,0,0,0,0,0.813813969546897,0.814331376875052,0,0,0,0,0.836633037423626,0,0,0,0.81506885084704,0.834598388735885,0,0.834272878734584,0.836474093085457,0,0.817040969501569,0.818663473641293,0,0.818663473641293,0,0,0,0,0.83333641462634,0,0,0,0,0,0.832466304782194,0.817834339638624,0.8374353357258,0.815362858462322,0.817006763859802,0.815697615034404,0.835918038241402,0.836515847846993,0,0.815773735252207,0.815260679179294,0.834166216040378,0.837974478830029,0.838205425106977,0,0,0.838734847129125,0,0.836504767034314,0.836897345935243,0,0.812941761806912,0.835192951742131,0,0,0,0.817296672048222,0,0.837143793949891,0,0,0.816201583437495,0,0,0,0.81294622466887,0,0,0,0.837791689836313,0,0,0,0,0.83535671605853,0.814998612924093,0,0.858889552207334,0.83766474554484,0,0.837446897564927,0,0.816016817722366,0,0.815697615034404,0,0.836676376531467,0.836518772802522,0.815284327547702,0.815127216387078,0.814848437579045,0.835845427771723,0,0,0,0.816757220640942,0,0,0,0,0,0.839021828247024,0,0.837039018721408,0,0.81294622466887,0.814863771886569,0,0,0,0,0,0,0,0,0,0.815284327547702,0.836288524416281,0.855186957242531,0,0,0.838253382788752,0,0.816067032627127,0,0.835072337932839,0.818071496834677,0.837974478830029,0,0,0.839722029674471,0,0.815127216387078,0.813695613439461,0.817282933211408,0.834101675421195,0,0.837531423776035,0.814552518351075,0.816458663099981,0,0.815132672634637,0.83772181783696,0,0,0,0,0,0.838784818941277,0,0.818299438930757,0.812932887344413,0,0.817582136528446,0.836641641616671,0,0,0,0.8161120441784,0.853249153602769,0.81294622466887,0.837678474032046,0.833952203622715,0.837899178605933,0,0,0,0.81293731607691,0.837808217045452,0,0,0,0,0,0.816029927814264,0.814571569211659,0.81294622466887,0,0,0.813946439917327,0.81640955445773,0.837849812214689,0.859462616328916,0.840109640300123,0.838367039596132,0,0,0.838416029677841,0,0,0.838411884437242,0.813813969546897,0.813813969546897,0.813813969546897,0.813813969546897,0.813813969546897,0,0,0.81765301433744,0.836451609730188,0,0,0.814791054548808
