"","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP"
"Peptide hormone metabolism",0.767104349480298,0.731521400464753,0.765966829302619,0.783898167626032,0.765132591954165,0,0.767217867085145,0.768617744950773,0.7474396085923,0.748595367222309,0.748811146035454,0.767634192060951
"Interaction between L1 and Ankyrins",0.864590536187873,0,0.863910382316669,0.816583273530518,0.865239462604724,0,0.863297177075122,0,0.866736419171185,0,0.817736632646239,0.817588616186618
"Activation of Matrix Metalloproteinases",0.888486320801349,0,0.881816666578569,0.913759542812914,0,0,0.915305138069103,0,0,0.887605210256503,0.882949757351096,0.914505362200914
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.916705390779202,0,0.915570210503303,0.915479921261739,0,0,0,0,0,0,0,0
"Glucuronidation",0.716905696878297,0,0,0,0,0,0,0.715388049448487,0,0,0,0
"Extracellular matrix organization",0.817071701105827,0.800687107726897,0.815638199120676,0.816480296609473,0.817065345752059,0,0.824239735773966,0.807260239982844,0.80811227091258,0.824703962658092,0.81732282436042,0.817159553756635
"Peptide hormone biosynthesis",0.613188601790075,0,0,0.59542221054836,0,0,0,0,0,0,0,0
"Keratinization",-0.00934936987855745,0,-0.00934936987855745,0,0,0,-0.00934936987855745,0,0,-0.00934936987855745,-0.00934936987855745,0.849676664927014
"Synthesis, secretion, and deacylation of Ghrelin",0.75467265438174,0,0.751429235038059,0.750916462288033,0.691266650426542,0,0.754359976307188,0,0.693056008227881,0.693303625571137,0.688933724989771,0.689603391246034
"Phase II - Conjugation of compounds",0.704407768797957,0,0,0,0,0,0,0.703217062897482,0,0,0.701896088687151,0.705891460843094
