"","MYCT1","VIP","FBXO5","MTRF1L","OPRM1","IPCEF1","SYNE1"
"Keratinization",0,0,-0.0149736890038887,0,0,0,0
"Peptide hormone metabolism",0.659896279201648,0.713423917049007,0.659339811999324,0,0.712480037364899,0.691095121918545,0.685479652126402
"Extracellular matrix organization",0.792796513103901,0.790854533220755,0.790895577410281,0.790886652079641,0.802757514603972,0.816589769826753,0.791202057473509
"Activation of Matrix Metalloproteinases",0.819080358364809,0,0,0,0.851156207216963,0.81586841730779,0.811708219031215
"ADP signalling through P2Y purinoceptor 1",0.743660449673892,0.870865892068536,0,0,0.868672083275618,0.813729438743425,0.802853808628661
"Glucagon signaling in metabolic regulation",0,0.879989622665922,0.823570992708722,0,0.87810382318004,0,0.820736220519867
"Glucagon-type ligand receptors",0,0.775575263263191,0,0,0.885972415617681,0.776526719887621,0.831016881108487
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0.6911094610154,0,0.679085012488992,0,0.672261693809967,0.688870973637945,0
"Regulation of IGF Activity by IGFBP",0.742270156199941,0.787084798448744,0.758714301870517,0.736226647576949,0.786982855349948,0.78899391210017,0.759383133727291
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0
