"","CDC40","DDO","SLC22A16","CDK19","AMD1","GTF3C6","RPF2","REV3L","FYN","TUBE1","LAMA4","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","TRAPPC3L","RWDD1","KPNA5","GPRC6A","GOPC","NUS1","PLN","MCM9","ASF1A","MAN1A1","GJA1","HSF2","FABP7","CLVS2","RNF217","TPD52L1","HEY2","NCOA7","TRMT11","CENPW","RSPO3","RNF146","ECHDC1","PTPRK"
"Neuronal System",0.936090118641019,0.936841685337658,0,0.936546748208915,0,0.936562242427936,0,0.936458661667723,0.940510476578046,0,0.936547262885204,0,0.940348399623773,0.932404960412369,0.936612642465256,0.932746487665917,0.937012684269051,0,0.932996742375571,0.940397750543645,0.93647042923637,0.932274869760239,0.940714121057277,0,0.936712877821241,0.936766880193053,0.936340830575782,0.93698958265925,0.936708079043399,0.936719787550789,0.936306905300972,0.936494166058882,0.936612344574589,0.937012684269052,0,0,0.936600577005941,0.936322997364927,0.936637687297946,0.936684601581353
"Signaling by GPCR",0.928178254574577,0.925360444391917,0.925265802226695,0.928788219040782,0.921924976944396,0.928445605320518,0.92854743615018,0.928257367566395,0.931310811949646,0,0.928413272579783,0,0.931368079995704,0.928663999207501,0.92844694096933,0.925063183257853,0,0,0.925509134342399,0.931384248184359,0.928374736174488,0.92511916880747,0.931650374568355,0,0.928561878390903,0.924985224862043,0.928458403109851,0.928680063816638,0.928645128806622,0.928496342755493,0.928300553659728,0.928295806556662,0.92848427837269,0.928681709662792,0,0.924816910217875,0.928366909764596,0.928340888197392,0,0.928427050484998
"GPCR downstream signalling",0.940407515628825,0.937296028845697,0.937191522925451,0.940788469156699,0.933502511588003,0.940702730089179,0.940815173887757,0.94055068623254,0.943866553050827,0,0.937414793138294,0,0.943929789662541,0.940823688947229,0.936642704148252,0.93696778668962,0,0,0.937460215496223,0.943947642925197,0.940612404909421,0.937029607141099,0.944241505418683,0,0.940831121321478,0.936939165952242,0.938548705390099,0.9409730618879,0.940923048226206,0.940806507368443,0.940542560916608,0.940562946924346,0.940745433707555,0.940963441596629,0,0.936966866223594,0.94067164509059,0.940435055326464,0,0.940733231985523
"GPCR ligand binding",0.91079380433439,0,0.905747867542389,0.911997169387842,0,0,0.911568852128818,0.911230261297314,0.911091316212137,0,0.905004670553016,0,0.911193187621919,0.911776200620607,0.911390086020067,0,0,0,0.905693376207577,0.916654123798993,0.911418253566838,0.905509987630434,0.911170474452548,0,0.906099439253174,0.899254899183358,0.911330194919456,0.912054757880171,0,0.911578291445812,0.910667806504737,0.911240278576217,0.905362963355151,0.912147327617922,0,0.904944266414618,0.911425120715951,0.911395064880435,0,0.911681783304763
"G alpha (i) signalling events",0.924780728164842,0.919504786645218,0,0.925376368654801,0.912865918937966,0.925456449164292,0.918721110039577,0.918226227233678,0.930988810247899,0,0.92548116011915,0,0.931099387790936,0.919133152691745,0.911984449329613,0,0,0,0.920040346751665,0.931172941052886,0.925531122064545,0.919052491621615,0.931644463839544,0,0.925398241030958,0,0.92548116011915,0.926027312694304,0.925841704439975,0.918794367849496,0.919084804683397,0.924910326593242,0.925579817471818,0.926009640572869,0,0.918449885879804,0.918437739725717,0.918376170540879,0,0.925747715932131
"Peptide ligand-binding receptors",0.918251478680972,0,0.910729123939615,0.909416484879135,0,0,0.919217619759213,0.919096081079358,0.918386258776801,0,0.909381579906978,0,0.910521536356121,0.909879037529331,0.909538311553629,0,0,0,0,0.926633256525273,0.919119206442152,0,0.9190298912613,0,0.911241806107546,0,0.91898666578249,0.919809125835662,0,0.919474722788599,0.918205008141283,0.918902553199215,0.910056844718675,0.911244214227249,0,0.90955726637627,0.91938023633453,0.918824442191956,0,0.91958810674664
"Class A/1 (Rhodopsin-like receptors)",0.919243101644974,0,0.912048089818219,0.910781935318072,0,0,0.920235982061454,0.920066776835571,0.919434062111926,0,0.910748266437644,0,0.91184785354541,0.911228107565444,0.910899447737741,0,0,0,0,0.927389008468709,0.920108138053207,0,0.920002931001235,0,0.912542616343916,0,0.919952253524621,0.920806541100195,0,0.920423026940725,0.9192072595132,0.919871119624954,0.911399618058864,0.912544939184741,0,0.910917731312189,0.920340869284828,0.919804757511254,0,0.92053239562633
"Biological oxidations",0.862900160220131,0.8637305782173,0,0.871293223999161,0.863824693661836,0.863786725151133,0,0,0.86299368104755,0,0,0,0.863138761889929,0.846781851085455,0,0,0,0,0,0.86293349076868,0,0.864081499523733,0,0,0.854628876935072,0,0.863749988894925,0.864535714136983,0.864156269014473,0,0.854327443724468,0.854859913113539,0.863890072187475,0.864667547941586,0.865008896505638,0.854971044336102,0,0.854916238107201,0.927185438571465,0
"Transmission across Chemical Synapses",0.921451368927311,0.922782984090496,0,0.92226041868868,0,0.922287871125148,0,0.922147412159127,0.928864677203112,0,0.922261330584794,0,0.928996130491526,0.915435236560913,0.922377169193064,0.915527171212777,0.923085957560384,0,0.915970568941179,0.929083569748099,0.922151681306166,0.914693805676545,0.929644110515834,0,0.922554764768432,0.922650445401269,0.923020875126989,0.923045026457338,0.922546262362236,0.922503598442793,0.921835468442178,0.922164686623221,0.922376641394626,0.923085957560384,0,0,0.922398855733071,0.921907044080667,0.922421543270733,0.922550655757583
"Chemokine receptors bind chemokines",0,0,0,0.884223605207603,0,0,0,0.8850160984035,0.906906306323254,0,0,0,0.887359414725468,0.885734668213292,0,0,0,0,0,0.927761256198711,0.909815167276369,0,0.909133753374228,0,0.889180827804618,0,0.908864647783814,0.888721555104816,0,0,0.882762759427826,0.906828356797136,0.885342483353794,0.887422100482183,0,0.884579612466934,0.885734668213292,0.884329179896456,0,0.910385567461855
"Protein-protein interactions at synapses",0.884914032115849,0,0,0,0,0,0,0.88664559542275,0.912266956850189,0,0.886750849943871,0,0.884618262860595,0.873220820896405,0.886563871448821,0,0.887735437562167,0,0.872692164221163,0.885169008224819,0.887003169099207,0,0.886394486358489,0,0,0.887107127181633,0.886750849943871,0,0,0.887200500454019,0.885078120512895,0.886365428472579,0,0,0,0,0.887145449266308,0.886167758960269,0,0.887399952711871
