"","ARID1B","SNX9","SYNJ2","SOD2","WTAP","ACAT2","TCP1","MRPL18","MAP3K4","AGPAT4"
"Neuronal System",0.823258828790636,0.834467270625127,0.834334294516312,0.835294439461124,0.82513625458169,0.83507459676226,0.845585684845648,0.822384410747127,0.83591293273015,0.835268992708491
"Activation of Matrix Metalloproteinases",0.753456350930334,0.793730094526627,0.793597186108119,0.800166083418691,0,0,0.839763794965361,0,0,0
"GPCR ligand binding",0.849418410578179,0.863003510197332,0.863157429562272,0.864101473546096,0,0,0.876952109686787,0.834207330730518,0.849744748840468,0
"Extracellular matrix organization",0.635504496069419,0.653602838278604,0.652314637027419,0.638169264996829,0.653600081159779,0.652667170970147,0.636798397753604,0.636773421727884,0.653001544040252,0.621375773084607
"Interaction between L1 and Ankyrins",0,0.870258827724403,0,0,0,0,0.874201121311568,0,0,0
"Unblocking of NMDA receptors, glutamate binding and activation",0,0.848461726072999,0.846663302854621,0,0,0,0.787035238034704,0,0.855725709375941,0
"Protein-protein interactions at synapses",0,0.70460464404415,0.733825091129325,0,0,0,0.7044292198918,0,0,0
"Transmission across Chemical Synapses",0.806237476283083,0.824269885753632,0.824102663892601,0.825600654773289,0.809257923827421,0.825246966577949,0.842157456644234,0.804830691607581,0.826595701546657,0.825559715428648
"IL-6-type cytokine receptor ligand interactions",0.746304724362533,0.741436899463916,0.81660589625657,0.744354614034889,0,0.74280321532846,0.821201564636075,0,0.746372461928913,0
"Signaling by GPCR",0.839220561173366,0.84829160201113,0.848313869562911,0.849157074438728,0.840478001106495,0.839962449747346,0.867656410143182,0.838687151787345,0.849754290528154,0.849037683702874
"Neurotransmitter receptors and postsynaptic signal transmission",0.814000066436583,0.836426420241809,0.835620097087373,0.837432930485094,0.817999049757486,0.837004905334102,0.857556469513614,0.812297608647268,0.838637112731001,0.837383386651281
"G alpha (i) signalling events",0.815892261229006,0.833255982132464,0.833205575560533,0.833957423424151,0.814976704007453,0.815161304029921,0.866664359944858,0.814939860826552,0.834829001869266,0.834338618328036
"Phase 0 - rapid depolarisation",0,0.763618804054783,0.830565308169713,0,0,0,0.834455128007947,0,0.841277344857629,0
"GPCR downstream signalling",0.846179542276982,0.856548400139755,0.856516819843158,0.85729486240752,0.847586157155703,0.847009443951821,0.877988845605241,0.845582852479676,0.857962928543377,0.857161307888528
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0.680018142487399,0.676475299839413,0.676195373242653,0.682044533919245,0.781238034619721,0.680442688407175,0.760521114739292,0,0,0
"Class B/2 (Secretin family receptors)",0,0.81686860903844,0.816846641330601,0.820085138332511,0,0,0.850770136913009,0.750991488868376,0.785486035111878,0
"Regulation of IGF Activity by IGFBP",0.594635329093958,0.619375258746333,0.61929738910069,0.595318762621236,0,0.593659160687635,0.592095429022092,0.621511218490537,0.569173325907863,0.569925415665646
"Degradation of the extracellular matrix",0.732696346051541,0.796389908705312,0.796291080506637,0.767284745999699,0.799251194217984,0.734819947635679,0.764262893346123,0,0.766212699166908,0
"Glucagon-type ligand receptors",0,0.821229819502811,0.821042232195755,0.827184446517204,0,0,0.885228544119013,0,0.761409085645143,0
"Interleukin-6 family signaling",0.746245727493801,0.738096263322485,0.815719248803912,0.747793287927138,0,0.742653740353676,0.821201564636075,0,0.750667580806632,0
"Long-term potentiation",0,0.827536090362836,0.826183056786721,0.75767414704046,0,0.752746988457885,0.753226966068188,0,0.836317409157534,0
"Peptide ligand-binding receptors",0.826304088847156,0.849930860955553,0.849963802638757,0.827056786398656,0,0,0.851428384952241,0,0.828024871609253,0
"Scavenging by Class A Receptors",0,0.225186187459105,-0.0143393115382025,0,0,0,0,0,0,0
"Complement cascade",0,0.615403859982133,0.615224281511258,0.561114735799044,0,0,0.615838301824845,0.557246063218113,0,0
"Neurexins and neuroligins",0,0.751265803707452,0.755086350500999,0,0,0,0.759281400803117,0,0,0
"L1CAM interactions",0.777028934576244,0.809433135458742,0.807635285941602,0.778101621035887,0.741744649422954,0.777281961022754,0.810387816399919,0.80435643391545,0.780285229806781,0.804973540489177
"Trafficking of AMPA receptors",0,0.800983931059528,0.799757509788066,0.720469037640802,0.728851724712865,0,0.801259758288342,0,0.812717209927726,0.805701150696532
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0,0.800983931059528,0.799757509788066,0.720469037640802,0.728851724712865,0,0.801259758288342,0,0.812717209927726,0.805701150696532
"Class A/1 (Rhodopsin-like receptors)",0.826304088847156,0.84983665941022,0.849963802638757,0.827056786398656,0,0,0.851428384952241,0,0.828024871609253,0
"Ras activation upon Ca2+ influx through NMDA receptor",0,0.688505633327688,0.787985140660613,0.697048744455577,0,0,0.700981069710797,0,0.802459504152551,0
