"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","GABRR2","UBE2J1","RRAGD","GJA1","HSF2","FABP7","MDN1","CLVS2","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Neuronal System",0.932761787317453,0.928261966139565,0.928766697171925,0.923740357657686,0.928199002059772,0,0.932804990658812,0.928676725393547,0.918700559745771,0,0.923134581229696,0.91875726133972,0.928589461450896,0.928710136094922,0.91875726133972,0.928848233918825,0.918700559745771,0.928792838191448,0.928476662159976,0.929431608635502,0.91875726133972,0.918700559745771,0,0.924079678071964,0.923371308331196,0.923438919564963,0.932914674468652,0.928374829888537,0,0.9283016482937,0.922707375823092,0.923545747628006,0.932847312427417,0.928589461450895,0.92384916403162,0,0.932759545395353,0.932904597886275,0,0.932832416610955,0.928134673796115,0.924049713758525,0.928556088467928,0.924220230050079,0.923956966048462,0,0,0,0.928889928138583,0.932293485400008,0.924259470115625,0.928894363315903,0.928265784857188,0.928409616926421,0.923547358963607,0.932841439359945,0.928564258252001,0.928203065698249,0.928261889543095,0.928569959854327,0.92867779081858,0.932900197463641,0.933058379218133,0.928178962907748,0.928978872705943,0.92810732282161,0.92790312544201,0.933430398180869,0.928337063951804,0.928434956828243,0.928411153663043,0.922207972682498,0.928337144684301,0.932932332393592,0.928195442484688,0.922691042686863,0.928066685169724,0.932819881428528,0.9284599776848,0.923360375404915,0.928838500497833,0.928769689758777,0.927812513456861,0.923640919979671,0.928769689758777,0.928526855768441,0.928480336684221,0.928863397029732,0,0.928067674801583,0.92811993286915,0.933074295559383,0,0,0,0,0.923342882408214,0.932868204617196,0.932743970258387,0,0.933100362748654,0.928355184809299,0.923204216929847,0.932591006502159,0,0.928258207412887,0,0.928231556933754,0.922760386530802,0.928293629135392,0.933079339341657,0.928573929221122,0.932772487852107,0.928147311386045,0.928074844714479,0.933444123686511,0.924533129289718,0,0.923061830582647,0.928688297049773,0.923663077572631,0.928490930940293,0,0.932884627425292,0.928380071587581,0.923773025237505,0.928301628448126,0.923665517994142,0.928067674801583,0.927815111941785,0.928690709334508,0,0,0.92834709887106,0,0,0.92836515009371,0,0.928281056384537,0.928244475449683,0.932908932876454,0.932964959456152,0,0,0.928347698484132,0.92832011688313,0,0.92820010042578,0.923521793795561,0.928423867625324,0.923919683130049,0.928710136094922,0.928889928138582,0,0.932402038201609,0.932888429208161,0.924211237255941,0.932463180647171,0,0.928254502782656,0.928258185014613,0.923370234344705,0.932773697765491,0.928304798543905,0.928284436697901,0,0.928540644774647,0.923952495367913,0,0.928603559132309,0.923896671997309,0.928064717273136,0.93317544030931,0.92810304862368,0.928863014081054,0.92853505405677,0,0.92854869481359,0.928067674801583,0.928298757629631,0.932973981073165,0.928391119519371,0.928423520573902,0.928889928138583,0,0.928065699336846,0,0.928811383978535,0.923042708708343,0,0,0.928409811008972,0.928086422531233,0.928067674801583,0.928453045594895,0,0.928507702120278,0.928258207412887,0.933267368815002,0.927935725072842,0.928552693726688,0.928335820787966,0.92844015174991,0.933424268511903,0.928398449567713,0.928322660806773,0.928599405716232,0.932544224818154,0.932544224818154,0.932914674468652,0.932914674468652,0.932544224818154,0,0,0.928798046406775,0.927984926173673,0,0.92857575396509,0.928337144684301
"Transmission across Chemical Synapses",0.930369458740583,0.92360963011688,0.924363353762479,0.9168574333815,0.92351560475937,0,0.930947006712234,0.92371205342824,0.90933141534076,0,0.915952816885881,0.909416088819033,0.924140970095456,0.924278890120609,0.909416088819033,0.92448511400741,0.90933141534076,0.924402390602441,0.923875333542016,0.924803078718973,0.909416088819033,0.90933141534076,0,0.917364146468828,0.916306325591539,0.916407290625054,0.930557600538513,0.923778171519878,0,0.923668888169112,0.91531486360811,0.916566818833082,0.930454776989894,0.924098684571919,0.917019915835655,0,0.93032594359022,0.93109352128201,0,0.930432532807611,0.923419542242325,0.917319400237439,0.924078214944511,0.915667091453815,0.916835305424772,0,0,0,0.924547376712299,0.930183166996242,0.917632633060517,0.924553999839875,0.923615332674447,0.923830119609719,0.916037471485039,0.931001436192754,0.924061048195841,0.923521673061516,0.923651801257572,0.924069562497947,0.924230588355829,0.930535981774668,0.93077219734498,0.923485679944467,0.924680199184605,0.923378698555503,0.923073767050391,0.931327739744495,0.923674960629817,0.923867960126658,0.923832414445293,0.914569096196124,0.923721895547724,0.930583969425517,0.923510289183869,0.915290473051171,0.923318013641828,0.930413813801265,0.923905324207745,0.916289999262215,0,0.92443008534946,0.923491653512248,0.91670894136421,0.924367822644572,0.924005194415401,0.923935726656337,0.924467993168004,0,0.923319491476328,0.923397529359226,0.930795965494713,0,0,0,0,0.916266076517248,0.930488206299593,0.930302684966791,0,0.930834892082673,0.923748835180734,0.916056805090322,0.930627460442413,0,0.923604017144835,0,0.923590224289093,0.915394025421648,0.923656913020276,0.930803497462676,0.924073259383893,0.930345270786413,0.923438414175578,0.923330198432192,0.931348236281237,0,0,0.915899441946827,0.924246277493942,0.916742029683874,0.923951547243535,0,0.930512730765092,0.923805290485339,0.916906216447681,0.92345977141752,0.916745674007844,0.923319491476328,0.922942334956864,0.924249879800771,0,0,0.923736760308264,0,0,0.92376371651359,0,0.923638137912342,0.923625796488437,0.930546795880183,0.930221640029605,0,0,0.923737655720914,0.923696467635525,0,0.923517244968468,0.917034950396053,0.923851400426709,0.91712522323414,0.924278890120609,0.924547376712299,0,0.930345270786413,0.930518408033696,0.917560606090691,0.930436575865783,0,0.923598484955956,0.923629988466235,0.916306921640621,0.930347077571153,0.923340746116495,0.923643185793193,0,0.924025785778643,0.917174222320699,0,0.924119736885228,0.917055830596592,0.923315074947562,0.930947006712234,0.923923284100802,0.924507185481211,0.924017437062218,0,0.92397554433718,0.923319491476328,0.92366457149009,0.930646164124461,0.923593409993599,0.923850882168771,0.924547376712299,0,0.923316541480414,0,0.92443008534946,0.915815622048857,0,0,0.923872694960108,0.923389773311231,0.923319491476328,0.923894972397096,0,0.924021751042407,0.923604017144835,0.924164316407681,0.923122448647164,0.924043778688682,0.923719918550259,0.923875717793704,0.931318586203016,0.923813443198366,0.923700266521028,0.924113534516627,0.930557600538513,0.930557600538513,0.931110799456714,0.930557600538513,0.930557600538513,0,0,0.924410168121142,0.923195921508369,0,0.924078214944512,0.923762740671096
"Neurotransmitter receptors and postsynaptic signal transmission",0.917164465261243,0.908395291681722,0.909373058108532,0,0.908273317482851,0,0.917913688162566,0.908528160108704,0.889872907351084,0,0.898462506691705,0.889982749844125,0.899711787476596,0.909263487825327,0.889982749844125,0.909569474834364,0.889872907351084,0.898981317012407,0.908739974895661,0.909943490390973,0.889982749844125,0.889872907351084,0,0.900293351048819,0.898921095122619,0.899052071801711,0.9174085318161,0.908613931665143,0,0.908472164066352,0.897634923133037,0,0.908132160549264,0,0.899846798578083,0,0.917108015323217,0.908532658197788,0,0.907775210263412,0.908148700583023,0.900401867346609,0.909090985968693,0.898809486113584,0,0,0,0,0.909611781496271,0.917640434827079,0.900641644719764,0.9096203733347,0.90840268931263,0.908681321216315,0.898271280707731,0.917984296692621,0.90899155419959,0.908281189575149,0.899623116145213,0.908991938003534,0.909200828461734,0.918815759204872,0.91768691707559,0.908234497579149,0.909822548673486,0.908106377552202,0.907742451098562,0.898842365080218,0.908299253404247,0.908730409747969,0.908726604848883,0.896667477913682,0.908540927777672,0.917442738799753,0.908266421863622,0.897603282533934,0.908016992817839,0.908079021138275,0.908778880224208,0.898899915825966,0,0.899777599531458,0.908242246777488,0.899244480952704,0.909417318858619,0.908908436642739,0.908818319737218,0.909264954982325,0,0.908018909935561,0.908162451078256,0.917717750258245,0,0,0,0,0.898151245952431,0.917318510284433,0.917077843122496,0,0.917650844215473,0.908575875160391,0.898597405172975,0.918216793573225,0,0.908388010265446,0,0.908446456230172,0.897737615630499,0.908456629329509,0.917727521087971,0.908870613673493,0.917133087488158,0.908173182159063,0.908032799511719,0.918434182383898,0,0,0.898393266163371,0.90922118116342,0,0,0,0.917350324596138,0.908649111686511,0.899728336181664,0.908200887796618,0,0.908018909935561,0.907571951089431,0.899574531580951,0,0,0.908560211057269,0,0,0.908595179938394,0,0.908332255374847,0.899043479589663,0.907823419810862,0.91697270774681,0,0,0.908561372629463,0.908079829419762,0,0.908275445240681,0.899937528672679,0.908708927711757,0.899983408381072,0,0.909611781496271,0,0.917133087488158,0.91735768942099,0.900562615160784,0.917251532811886,0,0.908380833644964,0.908498040226013,0.898204232203513,0.917135431335891,0.908046482473177,0.908481128374721,0,0.908935148745745,0,0,0.909057026622759,0.899552466654611,0.908013180602834,0.917913688162566,0.908676058550386,0.909459625520526,0.908924318390782,0,0.898958428783167,0.908018909935561,0.90873392850118,0.917523420743206,0.908374250160636,0.908743530241694,0.909611781496271,0,0.908015083059516,0,0.909459625520526,0,0,0,0.89936376811695,0.8981647085026,0.908018909935561,0,0,0.908819748143859,0.908388010265446,0.909114857315258,0.907763296536508,0.908563970924493,0.908538363121834,0.908740473365359,0.918395718881783,0.908659687776477,0.908548144406879,0.908896824637286,0.918126167958635,0.918126167958635,0.918126167958635,0.9174085318161,0.918126167958635,0,0,0.909433787937643,0.907858609052423,0,0.909003162371788,0.908593914028754
"GPCR ligand binding",0.903242657097766,0.896379703544102,0.881110754817309,0,0.896279447494552,0,0.89586306123822,0.895892717256365,0,0.887890330125156,0,0,0.896535773481141,0,0,0.889372787047324,0,0.896549854677675,0,0.896173526131043,0,0,0,0,0.887628082900813,0.897511716750385,0.883307957466944,0.89621459109836,0,0.896313414227934,0.880259535333,0,0.903355458433121,0,0,0,0.903190815174183,0.90344667256379,0,0.903331740216033,0.896145033026881,0,0.897171304688681,0,0.89714300560739,0,0,0,0,0.903042762734788,0.897433451311746,0.881314034263282,0.896385783987816,0.896328525865568,0,0.903321635734002,0.8968220516273,0.895537708515228,0.896014189340989,0.88786440189152,0.89602888750755,0.903295151158973,0.903672083611502,0.89577765345037,0.889580799754845,0.896497872326744,0.895606519344615,0.8963510949281,0.896283931557136,0.89607693554774,0,0.89642731263736,0,0.903471382565313,0.896323696239478,0.880233528509418,0.895723940360682,0.90331178077448,0.8948418590914,0.897386652948492,0,0.897261589146599,0.90341073454847,0.896689946077897,0.889247723245431,0.896310329644308,0,0,0,0.895725516125484,0.887436519269643,0.895702011111011,0,0,0,0,0.888214690929608,0.895957910166667,0.903169743628832,0,0.896077922143693,0.887921485342489,0,0.896106392135918,0,0.896373718622392,0.88860575714666,0.896198043937133,0.887236193521644,0.888175356304061,0.896173425195079,0.896460778200966,0.903216866302645,0.903263682791639,0.887813351146112,0.888861065064332,0,0,0.887330387912246,0,0,0,0,0.895984059772405,0.887856203400373,0,0.896158370362581,0,0.895725516125484,0.895396798144607,0,0.888579623821282,0,0.896385783987816,0,0,0,0.887501232806828,0.896115194575109,0.895986461337693,0.903453575054729,0.895798743396297,0,0,0.887575547939642,0.896127473017715,0,0.895936373966729,0.896814322124896,0.896202388140009,0,0.888118488470726,0,0,0.903216866302645,0.903383587424773,0.88850600479991,0.903314221811881,0,0.896292672597927,0.896540029337004,0.88825824269927,0.90321879281593,0.895905687963034,0,0,0.888464747882704,0,0,0.880850994404122,0.888064510884391,0.895720806930662,0.895827061207352,0.896121473913355,0.897100374802331,0,0.887325281714279,0.896456657911667,0.895725516125484,0.895999994907245,0.895844451648723,0.896391149101403,0.896578172674502,0.897225438604224,0,0.895722370644899,0,0,0.887437720198943,0,0.887493940587374,0.896249720803705,0.896209114692572,0.895725516125484,0,0,0.896596477745446,0.896158370362581,0,0.896744376798765,0.896717557638821,0.896367826192497,0,0.904254679518346,0,0.89657879066218,0.896285899140753,0.903443266315484,0.903443266315484,0.903443266315484,0.903443266315484,0.903443266315484,0,0,0.88910877235761,0.895754972004177,0.887799779311379,0.88861093578189,0.896248054270477
"RA biosynthesis pathway",0,0,0.856740208704654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856065266557699,0,0.884167446826924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856263997155756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886085699782177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Protein-protein interactions at synapses",0.901370962533334,0,0.886052392054407,0,0.884034888642608,0,0,0.884714334485397,0,0,0,0,0.88615663083483,0,0,0,0,0.886226830060804,0.884736094498127,0.867131632558908,0,0,0,0,0,0,0.883760179203712,0.884169926479278,0,0,0,0,0.900388514265165,0,0,0,0.883206170633491,0.900593096388176,0,0.914058901464114,0.883639862024936,0,0.886315717882285,0.869535205217296,0,0,0,0,0,0.882864719805989,0,0,0,0,0,0.883208241796961,0.870201571659233,0.884401093131659,0.884986781493077,0.86822321699751,0.885251883253188,0.897634559074397,0.884475885353604,0.883672928622277,0,0.868569729612535,0.883193480109653,0.885976454429719,0.885010945386757,0,0,0.885430207386724,0,0.883664153460892,0.884134133157807,0,0.883069456970494,0.900290550626555,0,0,0,0.886518214863184,0.884170214205344,0,0,0.885650987921601,0,0,0,0.883072991217941,0,0,0,0,0,0,0,0.897800806613574,0.883150547537328,0,0.901391201841667,0.884582768270809,0,0.884410249229428,0,0.867439254902851,0,0.885251883253188,0,0.867604856616452,0.883675244964729,0.884924590977864,0.883252391704814,0.883357395355456,0.883142006881555,0,0,0,0.86802559773605,0,0,0,0,0,0.899381058873379,0,0.897969911490672,0,0.883072991217941,0.882879159702893,0,0,0,0,0,0,0,0,0,0.884924590977864,0.900608577829923,0.91350558986931,0,0,0.885048924225441,0,0,0.882529778492019,0.869066404582842,0.884828053489731,0,0,0.886211980926507,0,0.883252391704814,0.883666450162916,0.868441922132244,0.883180353488635,0,0.884345053719238,0.885346979450763,0,0.883256712638149,0.884627965188081,0,0,0,0,0,0.885469781263571,0.869847489167017,0.883062429070746,0,0.885048924225441,0,0,0,0.885580079634312,0.883072991217941,0.884593640189169,0.883701333057474,0.898492005690672,0,0,0,0.883065936290254,0,0,0,0,0,0.885515049715613,0.884360140552757,0.883072991217941,0,0,0.885815685161669,0.88472932700634,0.903168002616386,0.886518939079591,0.885138931777787,0,0,0.885580079634312,0,0,0.885174445483273,0.883760179203712,0.883760179203712,0.883760179203712,0.883760179203712,0.883760179203712,0,0,0.885883846001272,0.883622056916532,0,0,0.884737871955711
"Biological oxidations",0.89889136442531,0.899475359820676,0,0,0.899352982048953,0,0.899643066260915,0.900093205626643,0,0.891533033107804,0,0,0,0.900265791890524,0,0.90152662105286,0,0,0,0.89032937337316,0,0,0,0,0.909322048794725,0,0.899384340902477,0,0,0.909143502905266,0,0,0.898995491214547,0.899783442632616,0,0,0.898736760549935,0.899140396361447,0,0.899000103933404,0.89926732092549,0,0,0.899916621048296,0,0,0.910382091948531,0,0.910768456880509,0.898648898252709,0.909937866368301,0,0.899482781927932,0.909511395020768,0.900174222158741,0.898993897845041,0,0,0.900333744062723,0,0.899941900147992,0.908924397181712,0.909242882309831,0.899033985002983,0.901780532230797,0.900449770598063,0.90009427948212,0,0.90007476857252,0.909850953012346,0.899895636018879,0,0.918870954253666,0.908596147401725,0.909156053665717,0,0.89882756043044,0.898942175982573,0.899518555821333,0,0,0.900637257803807,0.909103868631559,0.890563918118161,0.901373961642605,0.910178365631397,0,0.900301905205688,0,0.898829483891279,0.909157703382813,0.900111036279067,0,0,0.910463138059998,0,0.899917782329075,0.898763710137695,0.899052558067814,0,0.899662939284428,0,0,0.898944954986455,0,0.899226137984587,0.91058493621959,0,0.908955621950114,0,0.909211865113464,0.889938938155212,0.899107985219069,0.899653733324487,0.908789265361428,0.900901986466705,0,0.910279615350022,0,0.889556657318154,0,0.909597975745612,0,0.899589735514995,0.890328394570213,0,0.909217113599603,0,0.898829483891279,0.90855261337734,0.918922758987777,0,0,0.909231841214967,0,0.909827001400967,0.899763776266215,0,0.909409034635372,0,0.899148821902492,0.908330449851016,0.901517666894509,0,0,0.909265979411145,0,0.908584294052189,0.891445364720061,0,0,0,0,0,0.899107985219069,0.899605912672601,0,0.898978720054088,0.891285229077592,0.899521784711302,0,0.899970943894384,0.89911033682183,0,0.899649347343106,0,0.90041822101015,0,0,0,0,0.898823735602058,0.899710303326491,0.90955329287699,0.901157942575611,0.900542703598653,0,0,0.898829483891279,0.899446066740872,0.908735689792981,0.909206230613771,0.909540938432944,0.900725443877691,0,0.898825644353349,0.901768634795196,0.900845354438539,0.909441298093644,0,0.899574753210543,0,0.909441298093644,0.898829483891279,0.918900218324856,0,0,0.889757006096389,0,0,0.901148166837437,0.909209920991837,0.918656183989693,0.891480756271966,0.918575131107638,0.909434540117621,0,0.899384340902477,0.899384340902477,0.899384340902477,0.899384340902477,0.899384340902477,0,0,0,0.898865439275665,0.899941900147992,0.900596665597139,0.909209440870617
"Interaction between L1 and Ankyrins",0.901047414621866,0,0.904608738800237,0,0.902519157184572,0,0,0,0,0,0,0,0,0,0,0.909436457947184,0,0,0.865808669619485,0.866626818617413,0,0,0,0,0,0,0.867605037122387,0,0,0.864398217025101,0,0,0.900534304487568,0,0,0,0.866479864305831,0.900949803914723,0,0,0.903210927976612,0,0,0,0,0,0,0,0,0.865786389132437,0,0.905534719158044,0,0,0,0.867073852659138,0.869674687580722,0,0,0.903181775581438,0,0.901362165984773,0.902736860699102,0.902107128983993,0.91038399930051,0.866360471139761,0.899407841369752,0,0.90302647754411,0,0,0.872522783075398,0,0.903393363707926,0.904024776247087,0,0,0.900335343624688,0,0,0.874932031554097,0,0.862967685052802,0,0.908866766193688,0,0,0,0,0,0,0,0,0,0,0,0,0.902928235996834,0.866366895663938,0,0.903597673100715,0.903954982780815,0,0.903604602396585,0,0.902454520063088,0,0,0,0.905111418064814,0.902339213772868,0,0.866573737750755,0.902447247833673,0.902332901525735,0.907105457374826,0,0,0,0,0,0,0,0,0,0,0.902454520063088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93482412382078,0,0,0.904332038129478,0,0,0.902260442351976,0,0,0,0,0,0,0.866573737750755,0.867414676585576,0,0.86701721244071,0,0,0,0,0.866582513421371,0.903780094768702,0,0,0.905300149790018,0,0,0.90342547583335,0.908455501620197,0,0,0.902570729310617,0,0,0,0,0,0.902215754463337,0.901841716983506,0.904332038129478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903682946901455,0.866945596698724,0.908114661101,0,0,0,0.905390706805862,0,0.866176753895043,0.902825658773451,0.867605037122387,0.867605037122387,0.867605037122387,0.867605037122387,0.867605037122387,0,0,0,0,0,0.905966066221202,0.903078350557086
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905019538726862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909190543531342,0,0,0,0,0,0,0.90605122222286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908116471824215,0,0,0.942605033615756,0,0.903995814837991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909515023224214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905557792062868,0,0,0,0.903865853544592,0,0,0,0,0,0,0.906492447401771,0,0,0,0,0,0,0,0.902307189724933,0.907605803877309,0,0,0.905373213777787,0,0,0,0,0.905735994657631,0,0,0.900976501109918,0,0,0,0,0,0.903788115723329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867821104185887,0,0,0,0,0.902598937146978,0.90448281458723,0,0,0,0,0,0,0,0,0,0,0,0,0.943294080152547,0,0,0,0,0,0.86722980251649,0.905285453030972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1CAM interactions",0.874545176885059,0.856199163977977,0.875700166153444,0.856593713817537,0.874494523197207,0,0,0.874549878591159,0.839802890993226,0,0,0.840013325153427,0.87604870795497,0.859368072673587,0.840013325153427,0.877148829613565,0.839802890993226,0,0.858057178947463,0.858503354570885,0.840013325153427,0.839802890993226,0.8758405395963,0.859254509148497,0.85501178023935,0.857341907158293,0.873678771683481,0.873984131679447,0,0.874710146994129,0.875266325346791,0.855871466076145,0.891790931386678,0,0.875657058208488,0,0.873103047898854,0.89200353241933,0,0.891735649190722,0.874630630517191,0.85578451077013,0.876060996939544,0.874894344577198,0.859411940095326,0,0,0,0,0.874082196651194,0,0.876032701450424,0.856213336218651,0.85753620380103,0.854555909340878,0.874740960676821,0.85846947214353,0.873722427576573,0.874833004576574,0.874828756988733,0.875003407609295,0.874667529546191,0.893889579796236,0.874420152763614,0.877633663663944,0.856894036414732,0.872672188152978,0.875152807894893,0.874698948687307,0.856638830677895,0.85520037263227,0.857221384469364,0.85619663702274,0.874056724085338,0.875109869077477,0.875205708888476,0.874294958802428,0.891689127913216,0.854480351871549,0.857050409632253,0.860515311027532,0.876767229585576,0.874016876314181,0.856442019504714,0.876857332087525,0.875523245593335,0.875538628156324,0.8759007479224,0,0.874298631580116,0.855013219454682,0,0,0,0,0,0,0.874338361726044,0.873045244570247,0,0.875046373771524,0.892348493187198,0.840017869400132,0.87468444209497,0,0.892500796516831,0,0.875166518662751,0.875463061681375,0.875455443319389,0.87388818258161,0.876222807628464,0.873151080675857,0.87357261941821,0.873514111171125,0.875956112857758,0,0,0.875455443319389,0.858342639458406,0,0.874856275868822,0,0.855707019747931,0.85725239039454,0,0.874850703906103,0.856315964628304,0.874298631580116,0.869971147124973,0,0,0,0.856700628932293,0,0,0.854948591286976,0,0.856684436583803,0.874768376408868,0.892019620679897,0.89116064970053,0.860983447971867,0,0.892832920838416,0.857206272496843,0,0.874498599515215,0.875916356398211,0.875329056993349,0.875918772672276,0.85578451077013,0,0,0.873151080675857,0.87358136878938,0.855033846442918,0.874711979243538,0,0.874166123299795,0.875265342301435,0,0.873155570974792,0.874625446624886,0.857869243309777,0,0.875032380520957,0.85738101127763,0,0.875094719040361,0.876214030662902,0.874287655433385,0.857591617329737,0.874516099353885,0.859033444835151,0.857260282487404,0,0.87598393526417,0.874298631580116,0.892651288773087,0.874147893390054,0.874828518666689,0.875994497870298,0.858483040948723,0,0.874291300123733,0,0,0.854450289537077,0,0.856217482200012,0.875381979081167,0.87418180148486,0.874298631580116,0,0,0.875694398393971,0.892500796516831,0.875319552386108,0.876843339642588,0.858221966004346,0.856658773072887,0.874382781938854,0.875449557947126,0.874624989290449,0.875175769339047,0.875689026351597,0.873678771683481,0.873678771683481,0.873678771683481,0.873678771683481,0.873678771683481,0,0,0.839997434548087,0.872912855843854,0,0.87537311389308,0.874917103411144
