"","PACRG","QKI"
"Extracellular matrix organization",0.856275227635189,0.860403134627135
"Collagen formation",0,0
"Collagen biosynthesis and modifying enzymes",0,0
"Assembly of collagen fibrils and other multimeric structures",0,0
"Degradation of the extracellular matrix",0.768431528008029,0
"Collagen chain trimerization",0,0
"Biological oxidations",0,0.91327200081056
"Activation of Matrix Metalloproteinases",0,0
"Collagen degradation",0,0
"Drug ADME",0,0.927384515608075
"Transport of small molecules",0.912577237564518,0.912815911317062
"Metabolism",0.880273547176502,0.883005532601375
"Ethanol oxidation",0,0
"RA biosynthesis pathway",0,0
"Interleukin-4 and Interleukin-13 signaling",0.673676394316878,0.710926696247585
"Stimuli-sensing channels",0.856768262133306,0
"Chondroitin sulfate biosynthesis",0,0
"Phase II - Conjugation of compounds",0,0.802839018280641
"Ion channel transport",0.886024326503105,0
"Glucuronidation",0,0.737834308480605
"Regulation of IGF Activity by IGFBP",0,0.782858869262965
"O-linked glycosylation",0,0
"Phase I - Functionalization of compounds",0,0.872159902237225
"APAP ADME",0,0.686702479365447
"Keratinization",0,0
"Glycosaminoglycan metabolism",0,0
"Signaling by Retinoic Acid",0,0.816152587047925
"Integrin cell surface interactions",0,0
"Defective B3GALTL causes PpS",0,0
"O-glycosylation of TSR domain-containing proteins",0,0
"Diseases associated with O-glycosylation of proteins",0,0
"ECM proteoglycans",0,0
"Post-translational protein phosphorylation",0,0.66821565949056
"Binding and Uptake of Ligands by Scavenger Receptors",0,0.603599863757161
"O2/CO2 exchange in erythrocytes",0,0
"Signaling by PDGF",0,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0
"GPCR ligand binding",0,0.878615585182278
"Blood group systems biosynthesis",0,0
"SLC-mediated transmembrane transport",0,0.861547399478475
"Diseases of glycosylation",0,0
"TNFs bind their physiological receptors",0,0
"Cytosolic sulfonation of small molecules",0,0.78564725069483
"Class B/2 (Secretin family receptors)",0,0
"Aspirin ADME",0,0.838858498817314
"Carbohydrate metabolism",0.584354349749786,-0.0124032090311492
"Interleukin-6 family signaling",0,0
