"","UTRN","RRAGD"
"Neuronal System",0.915233290228387,0.915287089554825
"Transmission across Chemical Synapses",0.908011462634118,0.908359867958439
"Transport of small molecules",0.908833274097604,0.909066687839551
"Trafficking of GluR2-containing AMPA receptors",0.859610266846003,0.860111225161786
"Neurotransmitter receptors and postsynaptic signal transmission",0.906432451582799,0.906988830858628
"Interaction between L1 and Ankyrins",0.89004958812945,0
"Protein-protein interactions at synapses",0.893067185001859,0
"Activation of Matrix Metalloproteinases",0.904962959683027,0
"Biological oxidations",0.887160684628233,0.886737111504262
"Defective GALNT12 causes CRCS1",0,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.883091909371746,0
"Receptor-type tyrosine-protein phosphatases",0,0
"Trafficking of AMPA receptors",0.875170225440558,0.876135210382087
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.875170225440558,0.876135210382087
"Drug ADME",0.776467049796746,0.758617082221507
"Synaptic adhesion-like molecules",0,0
"Regulation of IGF Activity by IGFBP",0.880941787354124,0.864910185220111
"Unblocking of NMDA receptors, glutamate binding and activation",0.884175738699888,0
"Extracellular matrix organization",0.845377512699221,0.836662477535048
"Phase II - Conjugation of compounds",0.797096358782519,0
"O2/CO2 exchange in erythrocytes",0,0
"Cardiac conduction",0.901459510547084,0.90098356355587
"Post-translational modification: synthesis of GPI-anchored proteins",0.79435117282876,0.844069212455217
"Defective GALNT3 causes HFTC",0,0
"Insulin processing",0.744331319179858,0.74482319088472
"Defective C1GALT1C1 causes TNPS",0,0
"Diseases associated with O-glycosylation of proteins",0.420209834121511,0.420485915708797
"Degradation of the extracellular matrix",0.84576462252894,0.810716974983767
"Glutathione conjugation",0.793151075650144,0
"Glucagon-type ligand receptors",0.860120516149292,0.856502137380507
"The canonical retinoid cycle in rods (twilight vision)",0.67422231182843,0.674878100934716
"Presynaptic function of Kainate receptors",0.82769749446205,0.822611255514565
"RA biosynthesis pathway",0,0
"Termination of O-glycan biosynthesis",0,0
"Muscle contraction",0.900694274001783,0.887688566242046
"SLC-mediated transmembrane transport",0.872896930519018,0.859255774895563
"Sensory processing of sound",0.877021786594035,0.877304789288657
"Cytosolic sulfonation of small molecules",0,0
"Sensory processing of sound by inner hair cells of the cochlea",0.871506851937993,0.871805240501921
"GABA receptor activation",0.612178156617563,0.609824123702076
"Glutamate Neurotransmitter Release Cycle",0.627900344766702,0.629786422216302
"IL-6-type cytokine receptor ligand interactions",0.712598319811488,0.770104646099931
"Activation of G protein gated Potassium channels",0.854518629709852,0.850099368913181
"G protein gated Potassium channels",0.854518629709852,0.850099368913181
"Phase 0 - rapid depolarisation",0.86586757160901,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.854518629709852,0.850099368913181
"APAP ADME",0,0
"Erythrocytes take up carbon dioxide and release oxygen",0,0
"Ion channel transport",0.87770557632386,0.878713895344287
"Amino acid transport across the plasma membrane",0.659405273557433,0
