"","PNISR","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","HACE1","LIN28B","PREP","COX7A2","PRDM1","ATG5","QRSL1","BEND3","PDSS2","SEC63","MYO6","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7"
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0,0.774290398742974,0.763580507892327,0.764450030414813,0.781322893958603,0.765393174675676,0,0.763512585869339,0.76455171647381,0.772626802913279,0.763845735232646,0,0,0.774636402239888,0.773105101188574,0,0,0,0,0.773433209411847,0,0,0.773802854351278,0.773321217907823,0.781531800026909,0.774169076722501,0,0,0.773640001161041,0,0,0,0,0.773092345745142,0.774063451997338,0,0.783644395698367,0,0.772628707425164,0.772609984556309,0,0,0,0,0,0,0,0.773154771487695,0.77325616929507,0.77362648525506,0.78188332032771,0.790443139237857,0,0,0.774859044191769,0.77326567886556,0,0.773316252888086,0.773944667753647,0.763512585869339,0.763561974585041,0,0,0,0.781531800026909,0.773099662143244,0,0.772843048069803,0,0.774285344313743,0.773314188050896,0.773854099161146,0,0.78153412846288,0.773552369287443,0,0,0.773690077076283,0,0,0,0,0.773744978927639,0.772623015765154,0.773391729243411,0.773735834828112,0.773433209411847,0.774636402239888,0,0,0.773979710646049,0.773595337433692,0.772628707425164,0.773339024449853,0.773269615094377,0.772663809633085,0.764359461822312,0.774787557727559,0,0.772624905712401,0.773659998068495,0,0,0.762497447902979,0,0,0.773944667753647,0.773473473431611,0.772628707425164,0,0,0.773055546042519,0.774257827681721,0.773260986976622,0.773646690301729,0.774593333259613,0.773360390065763,0,0.76365304433081,0.77413086613372,0.763572789940376,0.773154461962327,0.773500849476918
"Neuronal System",0.948659206531321,0.951576092676982,0.951402964147141,0.948725027700233,0.955141199467183,0.948971468755677,0.948543111838177,0.951476482861186,0.954429098835999,0.951261626549454,0.948430635435304,0.953285755961513,0,0.951684505587229,0.951649137788153,0,0,0.948420112855897,0,0.956072235068488,0,0,0.951360802022864,0.955345491452009,0.955652171220959,0.954496322397939,0.949136083226222,0,0.94847388841693,0.951692972849482,0.9486127201662,0.951598178033237,0,0.954159768064913,0.951450138187783,0.948678857092547,0.951461056582886,0.948614188155338,0.951262221843674,0.951256369627315,0.951636996415401,0,0,0.951430304077377,0,0,0.951621344497816,0,0.951539702420672,0.951368572910382,0.955741595322666,0.95576794885312,0,0,0.951430664763214,0.951461320321183,0,0.954094506521598,0.948750570538096,0.951476482861186,0.948767076358035,0.951648682213586,0.95175683269739,0,0.955206497340062,0.955721913538221,0.948942455196434,0.955243276415119,0,0.951417384436201,0.951393462197677,0.951376819638377,0.948436565892996,0.95565289902134,0.955910663179109,0.951577016274485,0,0.95154672793399,0.948786813935559,0,0.953144431452211,0.951760375161059,0.94875323444886,0.951260442798696,0.955894559606504,0.948685295527489,0.952627870128969,0.951740643058051,0.951543364943999,0,0.951551570281786,0.946057769794922,0.951262221843674,0.951401225323157,0.955727789070653,0.951597908897974,0.951476274099005,0.951756832697391,0,0.95126103354044,0.948044845520077,0,0.954642394565563,0.948239549076736,0,0,0.951468027371009,0.95127349918382,0.951262221843674,0.954395785821261,0,0.951361531235728,0.951526911906899,0.951376833111633,0.955727020509961,0.95471028698377,0.951553975751891,0.951423519961028,0.951486278266569,0.95559856359759,0.95146119311214,0.951631819614452,0.951534827715247
"Protein-protein interactions at synapses",0,0.941107649993731,0,0.93210074167533,0.939433541543128,0,0,0.940387713291756,0.940714011713357,0.939434755465978,0,0,0,0,0,0,0,0,0,0.949363042009198,0,0,0.94061738046411,0.939763023151915,0.939643615295565,0,0,0,0.931282707380728,0,0,0,0,0,0.940989164888244,0,0.940506271390155,0,0.939436670623165,0.939331636149863,0,0,0,0,0,0,0,0,0,0.940440025549736,0.9489389494624,0.948663098565488,0,0,0.940507399924691,0,0,0.939142311563216,0.931846705443345,0.940387713291756,0,0,0.941137643401794,0,0.939643615295565,0.93975825737698,0.931508307503936,0.939494848673066,0,0.940197584159632,0.940125982754873,0.940668911707741,0,0.939645956746371,0.940279288356975,0,0,0,0,0,0.940735456220512,0,0.932269963796777,0.939430947149522,0,0.931636705242511,0.940507399924691,0,0,0,0.940795225300241,0.94032249667443,0.939436670623165,0.940260688140283,0.940038890446076,0.940679456465702,0,0,0,0.939432847660662,0.940473725683629,0,0,0,0,0,0.940759986534978,0.940134158090097,0.939436670623165,0,0,0.939865895062456,0.940922896502041,0.940334214849145,0.951042766709944,0.941303979551654,0.940556173705629,0,0,0.940795225300241,0,0,0.940575418065091
"Transmission across Chemical Synapses",0.940451059015533,0.945082618949442,0.944782424713943,0.939795366287548,0.948924817894474,0.940944004121065,0.939929649868284,0.944898483229597,0.949911334129676,0.944559305580173,0.940090230858111,0,0,0.945226873206495,0.945171040697508,0,0,0.940075018519455,0,0.95004279834931,0,0,0.944732402796123,0.949599094501514,0.949379674854056,0.949665678884476,0,0,0.940193653736412,0.945240239842481,0.940377674454826,0.945090594329659,0,0.949486161710407,0.944869162177834,0.940482079892291,0.944776087936936,0.940379991859893,0.9445602453268,0.944551006868909,0.94515187401705,0,0,0.944825584224586,0,0,0.945127165501053,0,0.944998283237384,0.94475502295714,0.94952084202003,0.949301058752797,0,0,0.944826153612441,0.944874547257523,0,0.949031362101599,0.940563941084297,0.944898483229597,0.940621345073104,0.945170321515884,0.945341050625888,0,0.949379674854056,0.949489771853505,0.940898202577019,0.949437735239276,0,0.944805188949761,0.944767424694358,0.944757688612189,0.940100991703134,0.949380823778286,0.949787736846991,0.945057187837974,0,0.945009373891757,0.940652503316004,0,0.945420892944072,0.945346642849316,0.940577218686103,0.944557436881057,0.94976231533687,0.940482154684588,0.944983185331358,0.945315493248627,0.94500406499005,0,0.944977425642378,0.934937260391275,0.9445602453268,0.944779679762088,0.949499047118743,0.94495721214768,0.944898153672297,0.945341050625889,0,0.944558369441029,0.945154154104332,0,0.949896272131011,0.93978857706254,0,0,0.944912024303333,0.944604937149386,0.9445602453268,0.949506969282304,0,0.944717017664046,0.945006808225731,0.944741173595328,0.945449240811072,0.95000344883267,0.945020815481811,0.94481487464562,0.944913946506175,0.9499986006402,0.944874346442086,0.945143701787138,0.944990587903166
"Unwinding of DNA",0,0.818227506169948,0,0,0,0,0.810451024735641,0,0,0.806347941640541,0,0,0,0,0,0,0,0,0,0,0,0,0.816908804422828,0.810682518198953,0,0,0,0,0,0.814357574494825,0,0,0,0.812354174438368,0,0,0.814507869137011,0,0.806360767716931,0.808875334409704,0,0,0,0,0,0,0,0.808789593391404,0,0.815721033677282,0.80961449382221,0,0,0,0,0,0,0.807735051016358,0,0,0,0,0,0,0,0,0,0,0,0,0.874173633254307,0,0,0,0,0,0.877464592659186,0.875687117914413,0,0,0,0,0,0.806322436810905,0,0,0,0,0.818061070964308,0,0,0,0.806360767716931,0,0.809317027397861,0,0,0,0,0.806335164800668,0,0,0,0,0,0,0.815899155207358,0.81170789430441,0.806360767716931,0,0,0.809911299169346,0.816990186114045,0,0,0,0,0,0,0,0,0,0
"Signaling by GPCR",0,0.951489408827647,0.951494784074201,0.948916243056565,0.953572883517527,0.951795383254366,0.948646593372719,0.951460307310412,0.951621735743388,0.951350571516378,0.94919316543389,0,0,0.951627060763084,0.951662129679133,0,0,0.948780153389594,0,0.953820362484431,0,0.949094944291626,0.951426800419564,0.953752753007866,0.953807569705334,0.951514214726807,0,0,0.951386011216177,0.951571885125418,0,0.951338334938121,0,0.953693949648499,0.951512127512065,0.94905121006369,0.953776113950092,0,0.951351060836248,0.951198144412208,0.949156904990091,0.949086275077663,0,0.951517256946691,0,0.949418577225908,0.951459310537373,0.951447384842624,0.951392202392854,0.951318831755446,0.953712007456951,0.953597567759506,0,0,0.95143518113753,0.95373848354747,0,0.95364030597316,0.951622294352001,0.951460307310412,0.948935063828512,0.948944335183001,0,0,0.953807569705334,0.953847421623041,0.949267869887786,0.95365237203004,0,0.951411729594318,0.951391077311882,0.951565154522558,0.948793677455003,0.941397464008032,0.953850977832775,0.951511434578378,0,0.951546083243384,0,0,0.948955865788238,0.951651690229835,0.951761183506308,0.951349598497075,0.951361731621669,0.951568639606818,0.951490887070652,0.951634283109167,0.95160821167798,0.948694621787648,0.951497175061932,0.951532542081119,0.951351060836248,0.951347518150248,0.953700658995621,0.953820362484431,0.951529794867877,0.951635511377451,0,0.951350084074901,0.951467920872456,0,0.951691953507778,0.949120236126423,0,0.948934441735193,0.951582088933908,0.951381161847318,0.951351060836248,0,0,0.951393855284146,0.951582683361775,0.953776113950092,0.951558271383418,0.954146465121647,0.951592246221944,0.951511680539569,0.951496394833199,0.953960773218934,0.95147577534105,0.951457122636098,0.951494172982445
"Activation of the pre-replicative complex",0,0.872108838140714,0.869770914881511,0,0,0,0.870112288495295,0,0,0.86747900429007,0,0,0,0.873654644822026,0.826552049325107,0,0,0.873521649714414,0,0,0,0,0.871524230511917,0.86969725735883,0,0.871746447634602,0.874460883288746,0,0,0.908099032198509,0,0,0,0.904721344637181,0.82702693171017,0,0.870068523160654,0,0.867486780848563,0.867410331084193,0,0,0,0.870128066957976,0,0,0.870148124821357,0.865188672683987,0.870115983722644,0.907519561165706,0.864993102565422,0.867230962330689,0,0,0,0.867307469542313,0,0.867910183100454,0,0,0,0,0,0,0,0,0,0,0,0,0.908340108578664,0,0.87373658209769,0,0.871258303913652,0.868935290704105,0.90823971660518,0.907162018648081,0,0,0,0,0,0.867463540496351,0.868719132650577,0,0.870771746832977,0,0,0.831935211784817,0,0,0.867486780848563,0,0.868869348747976,0.870771746832977,0.872111905476008,0,0,0.867471257584093,0,0,0,0,0,0.870771746832977,0.868803545867499,0.870318951555813,0.867486780848563,0,0,0.866875872968173,0.869465047125239,0,0,0.875954361297467,0,0.870039443423816,0,0.873003236617349,0,0.871319346231345,0
"Activation of ATR in response to replication stress",0,0.860960056036781,0.859693857950819,0,0,0,0.857598637610142,0.818809936833128,0,0.857472832924125,0.864826584900086,0,0,0.861435261997206,0.86136580718308,0,0,0,0,0.820403446511399,0,0,0.861392945999616,0.859622478551514,0,0.859586082659686,0.864238772244499,0,0,0.896836540612631,0,0,0,0.856620734633845,0.859729891772173,0,0.859982261625289,0,0.857480368964622,0.856757460169283,0,0,0,0.860039963816872,0,0,0.858981223990043,0.855253338046996,0.86002825429898,0.89627499180226,0.855063816636593,0.857232462552997,0,0,0,0,0,0.857890675981537,0,0.818809936833128,0,0,0,0,0,0,0,0,0,0.818061788926918,0.897289925534191,0,0,0,0.860537130842327,0.860382075510695,0.896972873848862,0.895928507570843,0,0,0,0.820255057364977,0,0.857457847403753,0.858674605862077,0,0.860663735580436,0,0,0.823028359831406,0,0,0.857480368964622,0,0.858820175987273,0.860663735580436,0.861962445005241,0,0,0.857465325812846,0,0,0,0,0,0.860065622286482,0.858756408297158,0.860224944623099,0.857480368964622,0,0,0.856570854377964,0.859397450253209,0.819721972556252,0,0.865087945789122,0,0.859954081283732,0.819686174574078,0.862228095236523,0.819368612714058,0.861194398501111,0
"Transport of small molecules",0,0.940719776310935,0.940866949839102,0.941050083906795,0.942924868080717,0.941186431924835,0.938463482803193,0.940588595911034,0.941066666204768,0.940460819660492,0.938770605733513,0,0.938480071134326,0.940926599988693,0.940949513010216,0,0.938635323691629,0.938612743592972,0.938610567088596,0.943149590903776,0.943234060304334,0.938967442770257,0.947985945196056,0.943085084579338,0.94297607810038,0.941134169515285,0.938898015315335,0.938796882111687,0.940940672528658,0.940818243092145,0.936612327831607,0.941020046816153,0,0.94302898018732,0.941006114743605,0,0.940948619049656,0.938687210237821,0.940461286521468,0.940611533028177,0.938942572224921,0.943309933201427,0.938695338484702,0.940888391247578,0,0.94116882874509,0.940896906951026,0.938364968043443,0.940857235561279,0.940921263563902,0.943046209175175,0.945374705656065,0.938862206504136,0,0.940927034178802,0.940771407591388,0,0.942977798659207,0.94101405004225,0.940588595911034,0,0.938574217371658,0.938798172714823,0,0.94297607810038,0.943030773686636,0,0.943004922181724,0,0.940851509886802,0.940844708841984,0.943252765371194,0.938544199931427,0.942976648879644,0.93522295278765,0.940880586125868,0.93835669097803,0.941016750325404,0,0,0.938700130892735,0.941115115994965,0.938745823514451,0.940471453499345,0.941007417549175,0.94096285795238,0.940927034178802,0.941107418754308,0.941017217905408,0.938478860397814,0.940904042931324,0.94318933402495,0.940461286521468,0.940746988840117,0.940876627340493,0.940953783278763,0.940933033562708,0.938940798051556,0,0.940460354591693,0.940894819470444,0,0.941118872031803,0.940918215655756,0,0.938531740732927,0.940635025825201,0.940683827883941,0.940461286521468,0.938656744579425,0,0.940796095912533,0.94092546850902,0.94088481657179,0.941108277283927,0.943460726022477,0.941050490229182,0.940883070787411,0.940932289145056,0.943283557040694,0.940912616050131,0.941046430310126,0.940972465463911
"Biological oxidations",0,0,0.912773550719741,0.907911457825231,0.907025692900394,0.907878835923383,0.902222595920878,0,0,0.907292683166569,0,0,0.902345508204905,0.902917624776453,0.902296564814283,0,0,0.907956085806254,0,0.901926401325478,0,0.908253694152412,0,0.907738905242959,0.90714791974517,0.902644201778563,0,0.908076816740764,0,0.907547666479163,0,0.907770369796314,0,0.907476625037812,0.907994746588069,0,0.90774194577748,0,0.907293797459133,0.907925327378627,0.907751474527631,0,0,0.91282472655843,0,0.907814610020671,0.907877577705082,0,0.912877219986332,0,0.907517746772153,0.912537975939046,0.903000875597248,0,0,0.90748960073592,0,0.912699144675056,0.896534036836144,0,0,0,0,0,0.90714791974517,0.901893364869407,0,0.907216764105635,0.897073055731943,0,0.907606420621493,0,0.907986883177179,0.907149282067406,0,0.907811287144054,0,0.907538537269242,0,0,0,0,0,0.907290467380452,0.90765178845297,0.896411852785769,0.907656046161818,0.908227739998761,0.908037040817994,0,0,0.907778146426822,0.907293797459133,0.90770939002388,0.907422181808268,0.907764495798563,0.907858467917437,0.902541927747197,0,0.907291573151532,0,0.908609009184071,0.902611393911308,0.907591165738071,0,0.907764495798563,0,0.907591165738071,0.907293797459133,0.912880174937078,0,0.907435082728851,0,0.907663731828287,0,0,0.908035247102456,0.91281202781191,0.907322760450188,0.896554539745441,0.907275805179804,0.913049648175015,0
